complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,1.3561356e-07,-4.7529093e-6,0.0,-4.75290930000000e-6,PySRFunction(X=>-0.00000475290930000000),1.356135375365809e-07,0.00036825743378319045,6.836493295636746e-05,-1.4654943925052066e-14,1.3801988649191324e-07,0.0003715102777742673,6.950140711816875e-05,-0.00015145081293210794,[],
3,1.356043e-07,MV301 * -5.487689e-6,3.414229432974414e-05,MV301*(-5.487689e-6),PySRFunction(X=>MV301*(-5.487689e-6)),1.356043343391238e-07,0.0003682449379680918,6.910146814304122e-05,6.786341262299267e-05,1.3802797934739873e-07,0.00037152116944717795,7.02353450930667e-05,-0.00021009512398584285,"[""MV301""]",
5,1.3557026e-07,(PIT502 + -1.2549043) * 3.635076e-5,0.0001255280000409738,(PIT502 - 1.2549043)*3.635076e-5,PySRFunction(X=>(PIT502 - 1.2549043)*3.635076e-5),1.355702600676923e-07,0.00036819866929103956,7.050059707417944e-05,0.00031912351578411435,1.3804198282079372e-07,0.0003715400151003842,7.071919782452247e-05,-0.0003115703141804982,"[""PIT502""]",
7,1.3556263e-07,((PIT502 + -1.2551006) * 3.299273e-5) + -2.8556206e-6,2.814118199390975e-05,(PIT502 - 1.2551006)*3.299273e-5 - 2.8556206e-6,PySRFunction(X=>(PIT502 - 1.2551006)*3.299273e-5 - 2.8556206e-6),1.355626312714199e-07,0.000368188309525737,7.12007807078597e-05,0.0003753774592398784,1.3806194984532804e-07,0.00037156688475337526,7.24761369369132e-05,-0.0004562599604625017,"[""PIT502""]",
9,1.3556252e-07,(((PIT502 + -1.2552408) * 3.2950073e-5) + 0.99999714) - P202,4.0571669581035143e-07,-P202 + (PIT502 - 1.2552408)*3.2950073e-5 + 0.99999714,PySRFunction(X=>-P202 + (PIT502 - 1.2552408)*3.2950073e-5 + 0.99999714),1.3556272543387613e-07,0.00036818843739840084,7.120342055956523e-05,0.0003746831151651975,1.3806208152383253e-07,0.00037156706194687455,7.248390985257698e-05,-0.0004572141595324819,"[""P202"", ""PIT502""]",
11,1.3548672e-07,((FIT201 * -1.7746794e-9) * (LIT101 * (AIT501 + -7.8721256))) * PIT503,0.0002796539919315143,FIT201*(-1.7746794e-9)*LIT101*(AIT501 - 7.8721256)*PIT503,PySRFunction(X=>FIT201*(-1.7746794e-9)*LIT101*(AIT501 - 7.8721256)*PIT503),1.3548669840768367e-07,0.00036808517819613936,7.167046490339497e-05,0.0009352984311099544,1.3799201433100097e-07,0.00037147276391547333,6.855705513514248e-05,5.0522851024914495e-05,"[""LIT101"", ""FIT201"", ""AIT501"", ""PIT503""]",
