complexity,loss,equation,score,fit_r2_against_constant,holdout_r2_against_constant,equation_features
1,9.548908,LIT101,0.0,0.9992343499473976,0.9992810265320742,LIT101
3,9.547292,LIT101 + 0.040075067,8.462416626647407e-05,0.9992344794457712,0.999279947472085,LIT101
5,4.118186,LIT101 - (FIT201 - FIT101),0.4204223894648881,0.999669795830796,0.9996853587964816,"FIT101,LIT101,FIT201"
7,2.4425554,LIT101 - ((FIT201 - FIT101) * 1.9435309),0.2611839943932287,0.9998041511200356,0.999812263690653,"FIT101,LIT101,FIT201"
11,2.441114,LIT101 - (((FIT601 - -1.9443784) * (FIT201 - FIT101)) - -0.047411308),0.0001475734661578,0.9998042667238428,0.9998122052751078,"FIT101,LIT101,FIT201,FIT601"
13,2.4366257,LIT101 - ((FIT201 - FIT101) * ((4.001229 - (FIT101 * 0.43485346)) - P101)),0.0009201600624033,0.9998046265941016,0.9998112106393962,"FIT101,LIT101,P101,FIT201"
15,2.429938,(LIT101 - ((FIT201 - FIT101) * ((4.001229 - (FIT101 * 0.43485346)) - P101))) - -0.08169284,0.001374214871539,0.9998051628066934,0.999811766769908,"FIT101,LIT101,P101,FIT201"
21,2.4298835,((LIT101 - ((2.589077 - (((FIT101 * 0.47283673) + -1.5779823) - (P101 * -1.0831116))) * (FIT201 - FIT101))) - -0.047472812) + 0.053601574,3.738134552365876e-06,0.9998051671997052,0.9998116221463136,"FIT101,LIT101,P101,FIT201"
23,2.429505,((LIT101 - ((((2.7371554 - ((FIT101 * 0.5324414) + -1.7403817)) - (P101 * 1.2340932)) * (FIT201 - FIT101)) - 0.16198823)) - -0.7793797) + -0.8392666,7.789045900849824e-05,0.9998051975350692,0.9998114644962328,"FIT101,LIT101,P101,FIT201"
