dataset,seed,wall_minutes,core_hours_timev,user_seconds,system_seconds,average_cores_used,peak_memory_gb,workers
BATADAL,42,8.061166666666667,6.407800000000001,21714.91,1353.17,47.69384084189633,2.0072479248046875,20
SWaT,42,8.245,5.745097222222221,20157.67,524.68,41.80786335152617,4.078582763671875,20
WADI,42,72.9,46.34369444444444,160326.77,6510.53,38.14295839048925,3.152446746826172,8
HAI,42,42.69616666666666,32.63663888888889,111636.47,5855.43,45.86356308333692,5.031463623046875,40
