complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,3.96924e-07,6.9143043e-6,0.0,6.91430430000000e-6,PySRFunction(X=>0.00000691430430000000),3.969239023093785e-07,0.0006300189698012105,0.00024098317140061024,-1.2234657731369225e-13,3.190433101252712e-07,0.0005648391896153021,0.00020719086562482066,-0.00014970104425260367,[],
3,3.9669658e-07,AIT504 * 1.1758466e-6,0.00028656011695791253,AIT504*1.1758466e-6,PySRFunction(X=>AIT504*1.1758466e-6),3.966966003675642e-07,0.0006298385510331709,0.00024683579399841925,0.0005726587399834671,3.1921223506197927e-07,0.0005649887034817415,0.00021360365542130404,-0.0006792536773454483,"[""AIT504""]",
5,3.9228354e-07,(P501 - UV401) * -0.0033543352,0.005593405854516634,(P501 - UV401)*(-0.0033543352),PySRFunction(X=>(P501 - UV401)*(-0.0033543352)),3.922835580473808e-07,0.0006263254410028231,0.00023604868430023392,0.011690765496739641,3.189955561724547e-07,0.0005647969158666279,0.00020148942807708122,-4.718625490340855e-11,"[""UV401"", ""P501""]",
7,3.9212162e-07,AIT503 * ((P501 - UV401) * -1.3282764e-5),0.00020642393823601645,AIT503*(P501 - UV401)*(-1.3282764e-5),PySRFunction(X=>AIT503*(P501 - UV401)*(-1.3282764e-5)),3.9212159800606594e-07,0.0006261961338159682,0.0002360536802831727,0.012098803512018086,3.189955561724547e-07,0.0005647969158666279,0.00020148942807708122,-4.718625490340855e-11,"[""UV401"", ""AIT503"", ""P501""]",
9,3.7434225e-07,((P501 - UV401) * -0.045974426) * (0.34142858 - FIT503),0.023200780431018395,(P501 - UV401)*(-0.045974426)*(0.34142858 - FIT503),PySRFunction(X=>(P501 - UV401)*(-0.045974426)*(0.34142858 - FIT503)),3.7434224819254436e-07,0.0006118351478891552,0.00023421000011633925,0.056891645943728864,3.189955561724547e-07,0.0005647969158666279,0.00020148942807708122,-4.718625490340855e-11,"[""UV401"", ""FIT503"", ""P501""]",
11,3.7426005e-07,(((0.3422845 - FIT503) * (P501 - UV401)) * -0.047621895) + 1.0313734e-5,0.00010980463235337868,(0.3422845 - FIT503)*(P501 - UV401)*(-0.047621895) + 1.0313734e-5,PySRFunction(X=>(0.3422845 - FIT503)*(P501 - UV401)*(-0.047621895) + 1.0313734e-5),3.7425995066887026e-07,0.0006117678895372576,0.00024241342381492358,0.057098984235011585,3.191018492440628e-07,0.000564891006517242,0.00020999398693862586,-0.0003332118100347614,"[""UV401"", ""FIT503"", ""P501""]",
