complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,0.0008500684,-0.00025665105,0.0,-0.000256651050000000,PySRFunction(X=>-0.000256651050000000),0.0008500688682038719,0.029155940530256812,0.010531451438193557,-2.4325638992017673e-07,0.0007175953207866273,0.026787969702585287,0.008914551665673351,-9.196497208385779e-05,[],
3,0.0008499494,2_LS_601_AL * 0.005635502,6.999926718079284e-05,2_LS_601_AL*0.005635502,PySRFunction(X=>2_LS_601_AL*0.005635502),0.0008499495479081495,0.029153894215149877,0.010351920589618384,0.00014012222364467863,0.0007176092607626425,0.02678822989229864,0.008717303463656987,-0.00011139271582871757,"[""2_LS_601_AL""]",
5,0.0008496786,(2_LS_601_AL * 2_FIC_301_PV) * 0.04776752,0.00015932898392565536,2_LS_601_AL*2_FIC_301_PV*0.04776752,PySRFunction(X=>2_LS_601_AL*2_FIC_301_PV*0.04776752),0.0008496786959913976,0.02914924863510889,0.010350417694490171,0.0004587457996504396,0.0007176693526113111,0.026789351477990487,0.008718734614217644,-0.0001951409974478846,"[""2_FIC_301_PV"", ""2_LS_601_AL""]",
7,0.00084827375,2_LS_601_AL * (-0.18347137 * (0.97902936 - 2_MV_501_STATUS)),0.0008273791196591788,2_LS_601_AL*(-0.18347137)*(0.97902936 - 2_MV_501_STATUS),PySRFunction(X=>2_LS_601_AL*(-0.18347137)*(0.97902936 - 2_MV_501_STATUS)),0.0008482737485849533,0.029125139460352,0.01033443860965781,0.0021114915956179647,0.0007175629728514723,0.02678736591849733,0.008712838481051944,-4.688258498508624e-05,"[""2_LS_601_AL"", ""2_MV_501_STATUS""]",
9,0.00084809196,2_LS_601_AL * (((2_MV_501_STATUS + -0.88290817) * 2_FIC_501_SP) * 2_FIC_301_PV),0.00010716439245635228,2_FIC_301_PV*2_FIC_501_SP*2_LS_601_AL*(2_MV_501_STATUS - 0.88290817),PySRFunction(X=>2_FIC_301_PV*2_FIC_501_SP*2_LS_601_AL*(2_MV_501_STATUS - 0.88290817)),0.0008480919793707484,0.029122018806579126,0.010330848707433324,0.0023253204572788455,0.0007175460713722965,0.026787050441814165,0.008709674134696456,-2.3327479439894105e-05,"[""2_FIC_301_PV"", ""2_FIC_501_SP"", ""2_LS_601_AL"", ""2_MV_501_STATUS""]",
11,0.0008480093,(2_MV_501_STATUS + -0.88303685) * ((2_FIC_301_PV * (2_LS_601_AL * 2_FIC_501_SP)) - 0.0002724541),4.873529783560063e-05,(2_MV_501_STATUS - 0.88303685)*(2_FIC_301_PV*2_FIC_501_SP*2_LS_601_AL - 1*0.0002724541),PySRFunction(X=>(2_MV_501_STATUS - 0.88303685)*(2_FIC_301_PV*2_FIC_501_SP*2_LS_601_AL - 1*0.0002724541)),0.0008480087421289369,0.029120589659705327,0.010456226296753447,0.002423238714461262,0.0007175629906800663,0.02678736625127723,0.008858917325100793,-4.6907432184051245e-05,"[""2_FIC_301_PV"", ""2_FIC_501_SP"", ""2_LS_601_AL"", ""2_MV_501_STATUS""]",
