sensor,target_source,geco_reference_available,geco_variables,simplest_nonconstant_equation,score_selected_equation,lowest_loss_equation,best_local_physical_equation,best_local_features,best_local_holdout_r2,score_selected_holdout_r2,lowest_loss_holdout_r2,OLS_local_holdout_r2,Ridge_local_holdout_r2,notes
PIT501,actual_delta,True,"PIT501, UV401, AIT504, FIT501",1.7252886 - FIT401,((PIT503 + -555.1891) * -0.08190849) - (FIT501 * 17.326128),(AIT504 * 0.08029678) * (((((PIT503 + -558.9744) * -0.07480478) - (FIT501 * 15.623119)) * (LIT301 / ((FIT201 - -558.9744) * (LIT301 / LIT401)))) - P403),,,,0.1054191109471985,0.1395048902241843,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
PIT501,mlp_next,True,"PIT501, UV401, AIT504, FIT501",PIT501,PIT503 + 60.73092,((((FIT601 + P302) * 0.6271249) + ((P101 / -1.9086204) / (FIT101 - -1.9958045))) + ((PIT501 + -245.09763) / (PIT502 - -0.055403877))) - -244.53247,,,,-0.0635132903620685,-0.4559954955378644,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
PIT501,mlp_delta,True,"PIT501, UV401, AIT504, FIT501",-0.31835958 / P302,((PIT501 * -0.13555798) * FIT401) + 58.053062,(((FIT401 * ((PIT501 + ((((FIT601 * (FIT201 * -0.67061406)) + (11.745871 - MV101)) * PIT502) - FIT301)) * -0.18765081)) + 76.899254) / FIT502) + 4.981922,,,,-0.3209004466214293,0.029766588056588,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
PIT502,actual_next,True,"PIT502, UV401, FIT501, PIT503",AIT504 * 0.08759498,AIT501 + (-11.770161 / FIT501),((AIT501 + ((PIT502 * ((((-8.835756 / FIT501) - FIT401) * -8.835757) + MV201)) / (AIT503 + MV304))) + (-8.828422 / FIT501)) + (FIT503 * -2.6624172),,,,-0.9363547887998832,-0.17882611522264,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
PIT502,actual_delta,True,"PIT502, UV401, FIT501, PIT503",1.1056995 - PIT502,0.6407378 - (PIT502 / FIT401),(((AIT202 * (-0.38420135 / FIT401)) + (-6.116525 / FIT501)) + ((FIT503 * (PIT502 * -1.0703042)) + (AIT501 - (AIT203 * 0.0009534197)))) + -1.3170761,,,,-9.787236190836907,-22.69140824873421,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
PIT502,mlp_next,True,"PIT502, UV401, FIT501, PIT503",PIT502,(AIT504 * (PIT502 * 0.030892953)) + 0.6798782,(((AIT504 * PIT502) * (((LIT301 * LIT301) * (((MV303 * (PIT502 * FIT201)) + AIT202) * (P302 * -8.468551e-7))) + AIT201)) * 0.0001234611) + 0.67764986,,,,0.7071895627565126,0.6698367180139644,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
PIT502,mlp_delta,True,"PIT502, UV401, FIT501, PIT503",1.7416754 - FIT501,-0.50478697 - (-0.562674 / PIT502),(PIT502 * -0.3384674) - (((1.3866192 - FIT501) / PIT502) - (((PIT501 + (((FIT301 + FIT201) / 1.5778005) - PIT502)) - AIT201) * (AIT504 * -0.0003372321))),,,,0.8146935199775106,0.5378120126197865,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
PIT503,actual_next,True,"PIT503, UV401, AIT504, FIT501",PIT503,((PIT503 + -14.21863) + (49.827824 / FIT401)) * 0.927643,(((((((0.008693837 / AIT504) / ((PIT503 / LIT401) / -7.837621)) / ((PIT503 / LIT401) / -7.8376236)) + 78.27151) / FIT501) + -21.298433) + PIT503) * 0.8853464,,,,0.8150959864677114,0.8231018167134138,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
PIT503,actual_delta,True,"PIT503, UV401, AIT504, FIT501",1.72527 - FIT401,(FIT401 * ((PIT503 * -0.02389579) * FIT401)) + 13.370456,(MV301 - AIT504) * (((((((PIT503 * 0.015514535) + (PIT501 * -0.008974846)) + 0.17937355) * FIT501) + (FIT401 - (LIT401 * 8.69821e-5))) + -3.1446223) * PIT502),,,,0.0974326931450646,0.093342079642505,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
PIT503,mlp_next,True,"PIT503, UV401, AIT504, FIT501",PIT503,(PIT503 / FIT501) + 79.65431,(FIT401 * -48.11151) + ((((((((MV304 * MV201) + -1.3682638) / (-0.19592282 - FIT101)) * -0.121843494) + -207.95906) - PIT503) * -0.687216) - PIT502),,,,-0.9002107844440908,0.1788860351903057,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
PIT503,mlp_delta,True,"PIT503, UV401, AIT504, FIT501",FIT201 * -0.040548768,49.332924 - ((FIT401 * 0.15222062) * PIT503),((((FIT501 * -47.790165) + (PIT503 * -0.32962197)) - -146.2065) / PIT502) + (-0.81241935 - (P201 - (FIT502 / (((MV304 / P302) / P101) + P101)))),,,,-0.017032403667726,0.3103291345776099,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
FIT601,actual_next,True,"FIT601, MV301, MV303, P602",P602 - 0.9933632,P602 - 0.9933632,(MV301 + -0.9999999) * (((MV301 / 1.0522417) + (P602 * ((DPIT301 / -3.4205492) + -0.18029658))) - (((DPIT301 / -0.2978874) - PIT502) * FIT301)),,,,0.8196492126690089,0.849332083434374,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
FIT601,actual_delta,True,"FIT601, MV301, MV303, P602",FIT601 * -0.22027072,(3.1378708 - FIT601) - (3.1355808 / P602),(((3.1692204 - ((FIT601 - (-3.1444178 / P602)) - (-0.024922466 / (FIT601 + (MV303 + -0.03790392))))) / P302) / P302) / ((P302 / 1.0252788) * P302),,,,0.9699759562181044,0.9017322103174404,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
FIT601,mlp_next,True,"FIT601, MV301, MV303, P602",FIT601,0.012179325 / (MV301 + -1.9920536),((FIT601 - (MV303 * -0.06493301)) * ((0.03862209 * MV301) + -0.19590612)) + (((P602 * 0.55772364) + (0.2902953 / (MV301 + -1.5434259))) / P302),,,,0.8492568442232977,0.9526028559258906,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
FIT601,mlp_delta,True,"FIT601, MV301, MV303, P602",FIT601 * -0.21153955,((P602 * 1.5673898) - FIT601) - 1.5621578,((MV303 * ((FIT601 * -20.077398) + (MV302 * -0.0070353844))) + (((P602 - 0.8465459) - (FIT601 * -39.60104)) - (MV301 * 0.13873854))) * (2.0505598 / P302),,,,0.9659304749303836,0.912095017723284,,,score=unknown_support; lowest=unknown_support; PySR input was unconstrained over all selected/current features
