sensor,target_source,feature_set,model_type,selected_features,coefficients,intercept,holdout_r2,holdout_mse,holdout_rmse,holdout_mae
FIT101,actual_next,local_support,ols,"[""FIT101"", ""MV101"", ""LIT101""]","{""FIT101"": 0.7722142436740975, ""LIT101"": -0.0004090434772202155, ""MV101"": 0.4723581921652195}",-0.1488916541606575,0.9778857996196773,0.028698778687438,0.1694071388325711,0.1020929648148494
FIT101,actual_next,local_support,ridge,"[""FIT101"", ""MV101"", ""LIT101""]","{""FIT101"": 0.7727813448820874, ""LIT101"": -0.0004102940161167408, ""MV101"": 0.47050293568530865}",-0.1460075330067769,0.9778787688760148,0.0287079028589164,0.1694340664061286,0.1021557242584347
FIT101,actual_next,self_only,ols,"[""FIT101""]","{""FIT101"": 0.9854289378397947}",0.0268654048140895,0.9734798845968088,0.0344165698796289,0.1855170339338923,0.1104329897467537
FIT101,actual_next,self_only,ridge,"[""FIT101""]","{""FIT101"": 0.9853299300462603}",0.027050044888021,0.9734797479904842,0.0344167471609511,0.1855175117366312,0.110475533308483
FIT101,actual_next,self_plus_local,ols,"[""FIT101"", ""MV101"", ""LIT101""]","{""FIT101"": 0.7722142436740975, ""LIT101"": -0.0004090434772202155, ""MV101"": 0.4723581921652195}",-0.1488916541606575,0.9778857996196773,0.028698778687438,0.1694071388325711,0.1020929648148494
FIT101,actual_next,self_plus_local,ridge,"[""FIT101"", ""MV101"", ""LIT101""]","{""FIT101"": 0.7727813448820874, ""LIT101"": -0.0004102940161167408, ""MV101"": 0.47050293568530865}",-0.1460075330067769,0.9778787688760148,0.0287079028589164,0.1694340664061286,0.1021557242584347
FIT101,actual_next,all51,ols,"[""FIT101"", ""LIT101"", ""MV101"", ""P101"", ""P102"", ""AIT201"", ""AIT202"", ""AIT203"", ""FIT201"", ""MV201"", ""P201"", ""P202"", ""P203"", ""P204"", ""P205"", ""P206"", ""DPIT301"", ""FIT301"", ""LIT301"", ""MV301"", ""MV302"", ""MV303"", ""MV304"", ""P301"", ""P302"", ""AIT401"", ""AIT402"", ""FIT401"", ""LIT401"", ""P401"", ""P402"", ""P403"", ""P404"", ""UV401"", ""AIT501"", ""AIT502"", ""AIT503"", ""AIT504"", ""FIT501"", ""FIT502"", ""FIT503"", ""FIT504"", ""P501"", ""P502"", ""PIT501"", ""PIT502"", ""PIT503"", ""FIT601"", ""P601"", ""P602"", ""P603""]","{""AIT201"": -0.002114585190248014, ""AIT202"": -0.21778611672070525, ""AIT203"": -0.006238923620112247, ""AIT401"": 0.02061305593703965, ""AIT402"": 0.004691949657435128, ""AIT501"": -0.3029040194668534, ""AIT502"": -0.0018412160441092645, ""AIT503"": 0.001048927476141881, ""AIT504"": -0.011723290346524414, ""DPIT301"": 0.0031045287922103343, ""FIT101"": 0.7513469211112165, ""FIT201"": 0.02881017054084148, ""FIT301"": -0.016245806050610094, ""FIT401"": -0.10609295549065052, ""FIT501"": 0.6404406813880028, ""FIT502"": -0.0017997255810407273, ""FIT503"": 1.0230386642348925, ""FIT504"": -2.2058085571797914, ""FIT601"": -0.009683742068020713, ""LIT101"": -0.0007270145765469601, ""LIT301"": 8.871624772077702e-05, ""LIT401"": -8.221159294719005e-07, ""MV101"": 0.46237669130589, ""MV201"": 0.05005698368707175, ""MV301"": -0.05266307219502322, ""MV302"": -0.015134953510958725, ""MV303"": 0.014360020160763296, ""MV304"": -0.0050285920269344045, ""P101"": -0.17102601431176837, ""P102"": -2.615685446016869e-13, ""P201"": -2.932376563791195e-14, ""P202"": -5.355438315035599e-14, ""P203"": 0.015916750537177324, ""P204"": -3.745614929329122e-14, ""P205"": 0.01591675053717731, ""P206"": -3.2612801348363973e-15, ""P301"": -3.9065972678997696e-15, ""P302"": 0.003350730071499358, ""P401"": -1.1102230246251565e-16, ""P402"": -3.1363800445660672e-15, ""P403"": -1.2038980923279041e-15, ""P404"": -1.7208456881689926e-15, ""P501"": 0.0, ""P502"": 0.0, ""P601"": 0.0, ""P602"": 0.057498440226309455, ""P603"": 0.0, ""PIT501"": 0.028862752796618804, ""PIT502"": -0.05786264581801168, ""PIT503"": -0.034446254615051124, ""UV401"": 0.0}",1.602866894186091,0.9777821004310764,0.0288333546618136,0.1698038711626258,0.1038506043900636
FIT101,actual_next,all51,ridge,"[""FIT101"", ""LIT101"", ""MV101"", ""P101"", ""P102"", ""AIT201"", ""AIT202"", ""AIT203"", ""FIT201"", ""MV201"", ""P201"", ""P202"", ""P203"", ""P204"", ""P205"", ""P206"", ""DPIT301"", ""FIT301"", ""LIT301"", ""MV301"", ""MV302"", ""MV303"", ""MV304"", ""P301"", ""P302"", ""AIT401"", ""AIT402"", ""FIT401"", ""LIT401"", ""P401"", ""P402"", ""P403"", ""P404"", ""UV401"", ""AIT501"", ""AIT502"", ""AIT503"", ""AIT504"", ""FIT501"", ""FIT502"", ""FIT503"", ""FIT504"", ""P501"", ""P502"", ""PIT501"", ""PIT502"", ""PIT503"", ""FIT601"", ""P601"", ""P602"", ""P603""]","{""AIT201"": -0.0016940822855594003, ""AIT202"": -0.050466670601897946, ""AIT203"": -0.004792485549631912, ""AIT401"": 0.0010267427921731105, ""AIT402"": 0.002310539003710304, ""AIT501"": -0.03513737869043203, ""AIT502"": 0.00011946963047916721, ""AIT503"": 0.0008583347411920053, ""AIT504"": -0.0031076501975761915, ""DPIT301"": 0.0028407658932478154, ""FIT101"": 0.7519544915727875, ""FIT201"": 0.02267479950150332, ""FIT301"": -0.01383785932947277, ""FIT401"": 0.04161017075247536, ""FIT501"": 0.05249868481447508, ""FIT502"": 0.013480297526435673, ""FIT503"": -0.00017815806350256983, ""FIT504"": -0.018691665025383806, ""FIT601"": -0.0060387097620574, ""LIT101"": -0.0007424474544197902, ""LIT301"": 9.408277020053304e-05, ""LIT401"": 1.9147502625076818e-05, ""MV101"": 0.46097728034376234, ""MV201"": 0.04371020675310755, ""MV301"": -0.04839444268966022, ""MV302"": -0.01336315815833465, ""MV303"": 0.013249918512626134, ""MV304"": -0.0041680344969063695, ""P101"": -0.15692977192139587, ""P102"": 0.0, ""P201"": 0.0, ""P202"": 0.0, ""P203"": 0.01594207593274325, ""P204"": 0.0, ""P205"": 0.015942075932737186, ""P206"": 0.0, ""P301"": 0.0, ""P302"": 0.0008053540124264843, ""P401"": 0.0, ""P402"": 0.0, ""P403"": 0.0, ""P404"": 0.0, ""P501"": 0.0, ""P502"": 0.0, ""P601"": 0.0, ""P602"": 0.048953434825819285, ""P603"": 0.0, ""PIT501"": 0.026839494777044254, ""PIT502"": -0.0412004179131666, ""PIT503"": -0.032058217403212186, ""UV401"": 0.0}",1.3051254039225202,0.9779880447914188,0.0285660896683819,0.1690150575196836,0.1033024604071531
LIT101,actual_next,local_support,ols,"[""LIT101"", ""FIT101"", ""FIT201"", ""MV101"", ""P101""]","{""FIT101"": 1.8971363918351414, ""FIT201"": -1.5844490530437376, ""LIT101"": 0.998690825909252, ""MV101"": -0.09581538244093585, ""P101"": -1.1191856100400244}",2.3036242525662374,0.9998126197037014,2.3321646260399675,1.5271426344778565,1.1582296824976253
LIT101,actual_next,local_support,ridge,"[""LIT101"", ""FIT101"", ""FIT201"", ""MV101"", ""P101""]","{""FIT101"": 1.8935346437689968, ""FIT201"": -1.5911662702105214, ""LIT101"": 0.9986920130113415, ""MV101"": -0.08697442515367106, ""P101"": -1.1021041952457695}",2.2767814786054714,0.9998126196836216,2.332164875956605,1.5271427163027709,1.1582066242396902
