S,G,Prec,Rec,F1,eTaP,eTaR,eTaF1,FPA,Scen
0.1,0.1,15.742397137745977,88.09788654060067,26.711635750421586,12.113182276676204,94.67191452164856,21.47824352771722,718.0,100.0
0.1,0.5,15.620902790784791,92.76974416017798,26.73933953190125,11.75214351093301,96.72869670855997,20.95797788889625,551.0,100.0
0.1,1.0,15.242821694434596,95.6618464961068,26.295673444427457,11.58968507652664,98.09708990351086,20.7301997731691,387.0,100.0
0.1,1.5,15.138816134101624,96.440489432703,26.169634772109863,11.569588901179127,98.36571843809683,20.704011328875985,339.0,100.0
0.1,2.0,15.102182196051263,96.99666295884316,26.13517158699236,11.462588441424025,98.60559381095094,20.53773064563843,309.0,100.0
0.1,2.5,15.05784838542566,96.99666295884316,26.068759342301945,11.653142312613005,98.60559381095094,20.843065282573125,299.0,100.0
0.1,3.0,15.094014145247542,97.33036707452726,26.135005973715653,11.667634485212194,98.81987952523666,20.871032251918106,297.0,100.0
0.1,3.5,15.106052767718571,97.44160177975527,26.15706180949537,11.588897096652978,98.85559381095094,20.74575734270076,296.0,100.0
0.1,4.0,15.120689655172416,97.55283648498332,26.183012389908946,11.470539586093864,98.89130809666524,20.55668128181604,296.0,100.0
0.1,4.5,15.120689655172416,97.55283648498332,26.183012389908946,11.470539586093864,98.89130809666524,20.55668128181604,296.0,100.0
0.1,5.0,15.132712857635298,97.66407119021136,26.205044023280102,11.11240043849242,98.92702238237952,19.980415358779737,295.0,100.0
0.1,6.0,15.142118863049095,97.77530589543936,26.22315035799523,11.029431708403578,98.98654619190332,19.84739620755193,293.0,100.0
0.1,7.0,15.142118863049095,97.77530589543936,26.22315035799523,11.029431708403578,98.98654619190332,19.84739620755193,293.0,100.0
0.1,8.0,15.171344928534529,97.99777530589544,26.274977631971367,10.628548931584463,99.0669033347605,19.197467312272444,293.0,100.0
0.1,9.0,15.183336202444483,98.10901001112346,26.29695885509839,10.569939307098709,99.18595095380812,19.10402219336813,292.0,100.0
0.1,10.0,15.178110480123902,98.10901001112346,26.289120715350226,9.60863272507297,99.18595095380812,17.520015095884688,290.0,100.0
0.1,12.0,15.21402784940691,98.44271412680756,26.354973198332345,9.01232220336117,99.4091652395224,16.526381407148858,287.0,100.0
0.1,15.0,15.212912087912086,98.5539488320356,26.357280975754872,9.135156301893144,99.45380809666524,16.733304103480044,284.0,100.0
0.1,20.0,15.201371036846616,98.66518353726364,26.343926343926345,8.688780332081686,99.51333190618904,15.982118336883788,278.0,100.0
0.1,25.0,15.159801743291744,98.66518353726364,26.281481481481485,7.5764569139861235,99.51333190618904,14.080865783020393,267.0,100.0
0.2,0.1,16.144731273804485,84.87208008898777,27.12888888888889,11.938094880421444,93.24113810454996,21.16618503216592,886.0,100.0
0.2,0.5,16.037735849056602,88.87652947719688,27.172249617412003,11.713702366311166,95.13020622994028,20.858969621454225,754.0,100.0
0.2,1.0,15.649867374005304,91.87986651835372,26.74437429172737,11.399317585094217,96.39603449994787,20.38768815081561,599.0,100.0
0.2,1.5,15.555141579731742,92.880978865406,26.64751874900272,11.309221607069944,96.81165889581544,20.25260059867202,550.0,100.0
0.2,2.0,15.603098487642937,94.10456062291436,26.767916468913143,10.996455334384844,97.34654118677676,19.76070307245307,521.0,100.0
0.2,2.5,15.60427413411938,94.21579532814238,26.77414256361625,10.93576173491962,97.4014862417218,19.66377152936689,518.0,100.0
0.2,3.0,15.704303052592866,94.9944382647386,26.95281679027931,10.478760156502382,97.786788439524,18.92909269514421,516.0,100.0
0.2,3.5,15.701415701415703,94.9944382647386,26.94856421584096,10.348661041073385,97.786788439524,18.71656950087145,515.0,100.0
0.2,4.0,15.726621348521036,95.21690767519466,26.99463891516872,10.314039604432992,97.86049664621092,18.661268596147888,513.0,100.0
0.2,4.5,15.726621348521036,95.21690767519466,26.99463891516872,10.314039604432992,97.86049664621092,18.661268596147888,513.0,100.0
0.2,5.0,15.73343124655774,95.32814238042268,27.009139615505827,10.042566124748388,97.8962109319252,18.21642228038177,511.0,100.0
0.2,6.0,15.747021081576534,95.55061179087876,27.03808624488511,9.81646307509304,98.01067979639406,17.845566404977685,508.0,100.0
0.2,7.0,15.735482689137203,95.55061179087876,27.021075810003147,9.89402139925946,98.01067979639406,17.973633261875914,504.0,100.0
0.2,8.0,15.748031496062993,95.6618464961068,27.044025157232703,9.77078193465432,98.05532265353692,17.770783407950443,503.0,100.0
0.2,9.0,15.775988286969254,95.88431590656285,27.094137985227096,9.676813051437232,98.23389408210836,17.618103960172157,502.0,100.0
0.2,10.0,15.761565185591516,95.88431590656285,27.07286432160804,8.913439666596206,98.23389408210836,16.34388570357237,499.0,100.0
0.2,12.0,15.787552473079028,96.21802002224696,27.12449043587332,8.56907474033091,98.45710836782266,15.76597979707748,494.0,100.0
0.2,15.0,15.789473684210526,96.440489432703,27.136150234741784,8.51327595842461,98.56127503448931,15.672806010427683,488.0,100.0
0.2,20.0,15.762742608380192,96.66295884315906,27.10542732376793,8.80757672045599,98.68032265353692,16.17176477784378,474.0,100.0
0.2,25.0,15.700090334236677,96.66295884315906,27.01274479328567,8.065868882530072,98.68032265353692,14.912804519873868,460.0,100.0
0.3,0.1,16.407637655417407,82.20244716351502,27.35517305200814,11.924993779167048,92.06502286973412,21.11500431252315,988.0,100.0
0.3,0.5,16.336105779483898,85.20578420467186,27.415891195418755,11.510476347581044,93.54550255975028,20.49865806469481,899.0,100.0
0.3,1.0,16.114610851452955,88.2091212458287,27.25085910652921,11.198488552897077,94.71352305242884,20.02885768348189,788.0,100.0
0.3,1.5,15.984908657664814,89.54393770856507,27.12721145745577,11.085354502639008,95.29608467773365,19.86043598404498,726.0,100.0
0.3,2.0,16.132858837485173,90.7675194660734,27.3963404398187,10.754132864536627,95.8632985555478,19.33880109036089,719.0,100.0
0.3,2.5,16.10384540308413,91.7686318131257,27.39953503819329,10.525030925487254,96.33027041347712,18.976673360289134,683.0,100.0
0.3,3.0,16.25778816199377,92.880978865406,27.67191383595692,10.056318981889046,96.85315444433984,18.220765368684173,681.0,100.0
0.3,3.5,16.267756372835183,92.99221357063404,27.69128850612785,9.758900090136136,96.89114836531247,17.731844480326338,679.0,100.0
0.3,4.0,16.30709426627794,93.32591768631812,27.76307081403044,9.652191138300378,97.0005708577137,17.55731465215862,677.0,100.0
0.3,4.5,16.30709426627794,93.32591768631812,27.76307081403044,9.652191138300378,97.0005708577137,17.55731465215862,677.0,100.0
0.3,5.0,16.310679611650485,93.43715239154616,27.773185650520748,9.427615293032188,97.036285143428,17.185557959962168,674.0,100.0
0.3,6.0,16.32732208648439,93.65962180200222,27.807133421400263,9.233408941984434,97.15075400789686,16.864025920844,671.0,100.0
0.3,7.0,16.327716443927947,93.77085650723026,27.812603101286705,9.292163147268068,97.18646829361116,16.962511761666445,666.0,100.0
0.3,8.0,16.35061919504644,93.99332591768632,27.855612328992912,9.21116241947406,97.35015876980164,16.82989876594125,663.0,100.0
0.3,9.0,16.379810481531617,94.21579532814238,27.90774299835256,9.12748825547014,97.52873019837304,16.692741452141547,662.0,100.0
0.3,10.0,16.360826733629516,94.21579532814238,27.880184331797235,8.871444736350645,97.52873019837304,16.263521008158683,659.0,100.0
0.3,12.0,16.377649325626205,94.54949944382648,27.919198554770897,8.85049638963538,97.69242067456354,16.230575251735836,654.0,100.0
0.3,15.0,16.388088376561,94.88320355951056,27.94888597640891,8.76728683750371,97.856111150754,16.092764092095212,646.0,100.0
0.3,20.0,16.33862029428626,95.10567296996662,27.886497064579256,8.23353701613997,97.97515876980162,15.190509410249804,629.0,100.0
0.3,25.0,16.25166318190458,95.10567296996662,27.759740259740266,7.897663526032759,97.97515876980162,14.617062643544465,613.0,100.0
0.4,0.1,16.6323966186886,80.97886540600668,27.596664139499623,11.88422347248556,91.44553091285611,21.03477611832272,1055.0,100.0
0.4,0.5,16.752519596864502,83.20355951056729,27.889634601044,11.48902634275654,92.51610718309048,20.43976016417806,1015.0,100.0
0.4,1.0,16.39552081132474,86.31813125695217,27.556818181818183,11.14753633108914,93.75190216318636,19.92580228215172,881.0,100.0
0.4,1.5,16.49549360721023,87.54171301446051,27.760141093474427,11.047750095200424,94.26276465429204,19.77754015656502,866.0,100.0
0.4,2.0,16.645754914261815,88.54282536151278,28.02323534588981,10.712603050112598,94.7528681424958,19.24895139218527,865.0,100.0
0.4,2.5,16.767466110531803,89.43270300333704,28.240252897787144,10.369865781291535,95.1154443960295,18.70088622684417,862.0,100.0
0.4,3.0,16.909317803660564,90.43381535038932,28.491326441212543,9.9197300096948,95.60326824897494,17.97444395485307,859.0,100.0
0.4,3.5,16.936824605153785,90.65628476084538,28.54141131150412,9.60181747724478,95.67697645566189,17.45219203949799,857.0,100.0
0.4,4.0,16.97799916977999,90.98998887652948,28.61640720657688,9.507879287735449,95.78639894806308,17.29867061846519,855.0,100.0
0.4,4.5,16.97799916977999,90.98998887652948,28.61640720657688,9.507879287735449,95.78639894806308,17.29867061846519,855.0,100.0
0.4,5.0,16.998341625207296,91.21245828698554,28.656299143805697,9.190172334654063,95.85782751949164,16.772331805514266,852.0,100.0
0.4,6.0,17.0287606041796,91.54616240266962,28.715980460572226,8.991101893149908,96.09134400300816,16.44360402182746,848.0,100.0
0.4,7.0,17.024793388429753,91.65739710789768,28.71580414706395,9.04608821773564,96.12705828872244,16.536043244418924,842.0,100.0
0.4,8.0,17.055062899566924,91.99110122358177,28.775226165622826,8.97780729563658,96.35027257443672,16.425139072550895,837.0,100.0
0.4,9.0,17.07869798104656,92.21357063403782,28.81974621936381,8.919792605081033,96.52884400300812,16.330552894962747,834.0,100.0
0.4,10.0,17.054104093807858,92.21357063403782,28.78472222222222,8.688097337412504,96.52884400300812,15.941387040565136,830.0,100.0
0.4,12.0,17.087179487179487,92.65850945494996,28.853481122272257,8.672953366991962,96.81158209824623,15.919723838562147,825.0,100.0
0.4,15.0,17.085632536276314,92.99221357063404,28.867403314917127,8.592025564223599,96.97527257443672,15.785456969121322,814.0,100.0
0.4,20.0,17.008321493809618,93.2146829810901,28.76759354617233,8.138427034228426,97.09432019348434,15.018044499451936,793.0,100.0
0.4,25.0,16.90197660346914,93.2146829810901,28.615332081270275,7.570560983227699,97.09432019348434,14.04594289671559,775.0,100.0
0.5,0.1,18.705242050988254,72.63626251390434,29.749430523918,12.198882148080273,88.19705712220909,21.433247469197795,1458.0,100.0
0.5,0.5,18.86845039018952,75.3058954393771,30.17606418542456,11.87297962689716,89.47271832777153,20.96404254562248,1415.0,100.0
0.5,1.0,18.852459016393443,79.3103448275862,30.4635761589404,11.178196410095916,90.99849384404858,19.91058889618749,1351.0,100.0
0.5,1.5,18.53918336292164,81.31256952169078,30.194134655101195,11.103570302521662,91.84147064941138,19.811896068288863,1257.0,100.0
0.5,2.0,18.81788330386461,82.8698553948832,30.671058048579663,10.712518186513623,92.52707721609696,19.20189620187769,1257.0,100.0
0.5,2.5,19.01408450704225,84.09343715239154,31.01538461538461,10.422891447577866,93.04277036286916,18.74582694403026,1256.0,100.0
0.5,3.0,19.178768152228344,85.20578420467186,31.31003474351114,9.873708125381134,93.58161462397786,17.86273580021829,1249.0,100.0
0.5,3.5,19.25,85.65072302558399,31.43498673198612,9.547073922856445,93.74826180658248,17.329370765608797,1248.0,100.0
0.5,4.0,19.32668329177057,86.20689655172413,31.5746587899776,9.51563004505742,93.93804144184084,17.28077189857943,1245.0,100.0
0.5,4.5,19.33715424869175,86.31813125695217,31.596091205211724,9.501484670655994,93.9705089743084,17.25799067091977,1243.0,100.0
0.5,5.0,19.39333664843361,86.76307007786428,31.700873806136965,9.267347218740907,94.12229468859408,16.873334113791365,1242.0,100.0
0.5,6.0,19.43550383758356,87.31924360400444,31.7942486836776,9.22000869842479,94.44509688639629,16.799956164683604,1238.0,100.0
0.5,7.0,19.43759250123335,87.65294771968854,31.81909953563497,9.299612359029478,94.57280251410192,16.934051339085475,1228.0,100.0
0.5,8.0,19.469026548672566,88.09788654060067,31.89047714918462,9.216040216983238,94.85554060934,16.7998308494657,1222.0,100.0
0.5,9.0,19.46555528315764,88.32035595105673,31.900361591000404,9.186461842110695,95.03411203791144,16.753453016679188,1215.0,100.0
0.5,10.0,19.43833943833944,88.54282536151278,31.87825390468562,8.74742623022224,95.1382787045781,16.02174380317151,1206.0,100.0
0.5,12.0,19.459985405010947,88.98776418242491,31.936127744510976,8.738181310608,95.34661203791144,16.00917783541568,1199.0,100.0
0.5,15.0,19.414893617021274,89.32146829810901,31.89672293942404,8.680232402025736,95.51030251410192,15.914144663477654,1185.0,100.0
0.5,20.0,19.262981574539364,89.54393770856507,31.705395825128,8.26180078993493,95.62935013314952,15.209584905954996,1158.0,100.0
0.5,25.0,19.084874348032244,89.54393770856507,31.463748290013683,8.199101032791058,95.62935013314952,15.1032726509369,1137.0,100.0
0.6,0.1,19.53879713306326,69.74416017797553,30.52580331061344,12.659392634891592,87.06463793298899,22.10471096950185,1494.0,100.0
0.6,0.5,19.93232851430329,72.08008898776419,31.228915662650603,12.39042789126505,88.24997311452478,21.729939812515106,1484.0,100.0
0.6,1.0,20.158683514545988,76.30700778642937,31.89214318921432,11.706304291974664,89.93221501143233,20.71604115822315,1437.0,100.0
0.6,1.5,20.41642567958357,78.53170189098999,32.40761992196465,11.390496128185928,90.8643599308493,20.243344519205937,1433.0,100.0
0.6,2.0,20.719424460431654,80.08898776418243,32.92181069958848,11.09844940010958,91.54996649753488,19.79694789966914,1433.0,100.0
