dataset,grid_points,geco_S,geco_G,geco_F1,geco_eTaF1,geco_FPA,geco_Scen,best_fpa_selection,best_fpa_S,best_fpa_G,best_fpa_F1,best_fpa_eTaF1,best_fpa_FPA,best_fpa_Scen,best_overall_S,best_overall_G,best_overall_F1,best_overall_eTaF1,best_overall_FPA,best_overall_Scen,threshold_5pct_eTaF1,pct_grid_within_5pct
SWaT,506,1.42,5.98,85.44546302903882,65.77390213547034,3.0,75.0,best_low_fpa_le_5,1.2,15.0,86.34457179207953,67.60952853587064,4.0,75.0,1.2,25.0,86.04944608409257,69.85682495397015,10.0,75.0,66.36398370627164,7.312252964426877
WADI,421,1.32,9.74,56.542787982343725,69.22093765284897,0.0,64.28571428571429,best_zero_fpa,1.2,25.0,63.366336633663366,71.33271821430182,0.0,64.28571428571429,1.2,25.0,63.366336633663366,71.33271821430182,0.0,64.28571428571429,67.76608230358673,8.076009501187649
BATADAL,421,1.39,2.16,66.90595836324479,84.75931321550475,1.0,92.85714285714286,best_zero_fpa,1.4,2.0,66.3768115942029,84.96436128611721,0.0,92.85714285714286,1.2,2.0,68.33095577746077,85.59145514364211,1.0,92.85714285714286,81.31188238646,11.63895486935867
