S,G,Prec,Rec,F1,eTaP,eTaR,eTaF1,FPA,Scen
0.1,0.1,16.25222904695859,33.134720258533626,21.80790960451977,6.501192230497834,57.43235842438864,11.680214802500249,13645.0,100.0
0.1,0.5,14.709950721881212,34.36679458695213,20.601767768494973,6.403999624334953,57.8996421395118,11.53245061523186,13670.0,100.0
0.1,1.0,12.547737618771196,41.47646940012118,19.266765181901345,6.280410358796802,64.66980199737795,11.448955003171976,13659.0,100.0
0.1,1.5,11.696907743419372,46.22298525550394,18.66944036547561,5.977954156904275,66.65289656899598,10.971865429968128,13542.0,100.0
0.1,2.0,11.46482122260669,50.19188042819632,18.665965597536243,5.8506566049381385,68.34536340947717,10.778617283538022,13443.0,100.0
0.1,2.5,11.375325485807744,53.383154918198336,18.75432403186036,5.691006661670397,69.72348008984295,10.523091961722514,13198.0,100.0
0.1,3.0,11.449484536082474,56.079579882851945,19.016472038628816,5.576840954910586,74.92977109027923,10.381045867978786,12971.0,100.0
0.1,3.5,11.484197521023477,58.20036356291658,19.18314359896145,5.427344502640276,75.98000507946907,10.13101802221705,12818.0,100.0
0.1,4.0,11.592519456382854,60.47263179155726,19.455455195269348,5.0884750212624725,77.06634339668874,9.546613842150494,12488.0,100.0
0.1,4.5,11.596066565809378,61.92688345788729,19.53426141250677,4.888286415331898,77.71949892013936,9.198047598900734,12164.0,100.0
0.1,5.0,11.641918321190886,63.42153100383761,19.672644686349752,4.374409345641352,78.36818533663688,8.286288909694097,11614.0,100.0
0.1,6.0,11.693519123303576,65.08786103817411,19.8252791534652,4.145195273763696,83.01319193496516,7.896105054004354,11317.0,100.0
0.1,7.0,11.727258096242911,66.22904463744698,19.92616562599699,4.022042233862779,83.44449567195286,7.674187039102165,11285.0,100.0
0.1,8.0,11.75186209082425,67.40052514643506,20.01409443269909,3.859476436392077,83.91632137469503,7.379552748045345,11244.0,100.0
0.1,9.0,11.750503717084694,68.3195314077964,20.05216824258233,3.617009108850401,84.26019363233588,6.936267390742011,11197.0,100.0
0.1,10.0,11.71884350368458,69.2183397293476,20.044159148401057,3.517740720419477,84.64922943655958,6.754775417844972,11066.0,100.0
0.1,12.0,11.659778116162716,70.36962229852554,20.00488063965089,3.357361634388529,85.12600707122196,6.459943702651671,10894.0,100.0
0.1,15.0,11.539962281329258,71.6824883861846,19.879568687858843,3.1073082482483585,85.67280779174685,5.99710462603954,10774.0,100.0
0.1,20.0,11.446578442774966,73.5507978186225,19.81014035469481,2.8776284420376705,86.43935519863754,5.569833124497032,10553.0,100.0
0.1,25.0,11.318647697720667,74.72227832761058,19.659368689552554,2.7920590166828663,87.14568163989912,5.410762698981544,10343.0,100.0
0.2,0.1,21.744094769142936,30.77156130074733,25.48191511603596,8.12278613457218,45.08561296646889,13.765525671136224,8337.0,100.0
0.2,0.5,20.65619223659889,31.59967683296304,24.98203592814372,8.211899657010877,49.25795855087578,14.076993594304104,8361.0,100.0
0.2,1.0,18.42686477261319,37.07331852151081,24.61775751072961,8.278501898371617,59.07145701170479,14.521855007035835,8406.0,100.0
0.2,1.5,17.20443875373453,40.708947687335886,24.18696747869915,7.875987831210651,60.44632049584351,13.93613583392958,8435.0,100.0
0.2,2.0,16.881423531216445,44.455665522116746,24.470509755961977,7.825730576228553,61.964705250791695,13.89643388185772,8417.0,100.0
0.2,2.5,16.86175031708643,46.99050696828924,24.81798543883511,7.625197705006989,63.010938547639874,13.604109440110998,8325.0,100.0
0.2,3.0,16.93484749716952,49.84851545142395,25.28105713334529,7.540830321245146,68.18538175245484,13.579826062979896,8301.0,100.0
0.2,3.5,16.957960940086064,51.73702282367199,25.543478260869566,7.380617648772171,69.01266809510419,13.335101669518432,8242.0,100.0
0.2,4.0,17.001735837146914,54.40315087861038,25.907134441051287,6.896672885995783,70.20847468287886,12.559599429597435,7954.0,100.0
0.2,4.5,16.984498031496063,55.76651181579479,26.038572169566653,6.773392887485881,70.70304881380937,12.362455410778557,7779.0,100.0
0.2,5.0,16.976855165831545,57.48333669965664,26.21229564816947,6.241798588429681,71.40189842883025,11.480037297173002,7329.0,100.0
