Dataset,GeCo published eTaF1,ASID-ICS at GeCo S/G eTaF1,ASID-ICS best zero/low-FPA eTaF1,Gap to GeCo,Best overall eTaF1 any S/G,Best overall FPA
SWaT,70.2,65.77390213547034,67.60952853587064,-2.590471464129365,69.85682495397015,10.0
WADI,69.7,69.22093765284897,71.33271821430182,1.6327182143018177,71.33271821430182,0.0
BATADAL,92.4,84.75931321550475,84.96436128611721,-7.4356387138827955,85.59145514364211,1.0
