complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,equation_features,evaluation_error
1,2.085291e-05,5.1686842e-5,0.0,5.16868420000000e-5,PySRFunction(X=>0.0000516868420000000),2.085291148674016e-05,0.0045664988214977305,0.0036165856255902153,-4.440892098500626e-16,[],
3,1.1139064e-05,28.028822 - P2_24Vdc,0.31351764871311705,28.028822 - P2_24Vdc,PySRFunction(X=>28.028822 - V38),1.1139063800763561e-05,0.003337523603027185,0.002669073851212211,0.46582692743665,"[""P2_24Vdc""]",
5,1.1100225e-05,(28.028826 - P2_24Vdc) * 0.9420306,0.0017464155210125676,(28.028826 - P2_24Vdc)*0.9420306,PySRFunction(X=>(28.028826 - V38)*0.9420306),1.110022529662358e-05,0.003331700061023438,0.002661753743192252,0.467689425350415,"[""P2_24Vdc""]",
7,1.1099748e-05,((28.028822 - P2_24Vdc) * 0.02604265) * P1_B4022,2.1486512622030762e-05,(28.028822 - P2_24Vdc)*0.02604265*P1_B4022,PySRFunction(X=>(28.028822 - V38)*0.02604265*V7),1.109974933327202e-05,0.003331628630755838,0.002661743227862525,0.4677122501416612,"[""P1_B4022"", ""P2_24Vdc""]",
9,1.1097078e-05,(((P4_ST_FD * -0.04044547) + 28.028824) - P2_24Vdc) * 0.94203055,0.00012028746870726908,(-P2_24Vdc + P4_ST_FD*(-0.04044547) + 28.028824)*0.94203055,PySRFunction(X=>(-V38 + V72*(-0.04044547) + 28.028824)*0.94203055),1.1097077913820065e-05,0.0033312276886787646,0.0026615079309728925,0.4678403578859277,"[""P2_24Vdc"", ""P4_ST_FD""]",
