complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,0.2123968,5.2599957e-5,0.0,5.25999570000000e-5,PySRFunction(X=>0.0000525999570000000),0.212396839836725,0.4608653163742364,0.376746654698352,-9.348521956553668e-12,0.2128114581185742,0.4613149229307179,0.37906728317674276,-2.622463852297585e-06,[],
3,0.07876621,S_V2 + -0.7296837,0.4959860627738722,S_V2 - 0.7296837,PySRFunction(X=>S_V2 - 0.7296837),0.07876622890249287,0.2806532182293531,0.22669905588268963,0.6291553633105894,0.07811516727387151,0.27949090731877396,0.22507292212552676,0.6329362487401891,"[""S_V2""]",
5,0.064898945,(F_PU7 - F_V2) * -0.00901854,0.09682636499668944,(F_PU7 - F_V2)*(-0.00901854),PySRFunction(X=>(F_PU7 - F_V2)*(-0.00901854)),0.06489894970447603,0.2547527226635194,0.20038306951961643,0.6944448431767052,0.06471031271310404,0.254382217761195,0.1991585616653297,0.6959257598925682,"[""F_PU7"", ""F_V2""]",
7,0.030306032,(F_PU4 + (F_PU7 - F_V2)) * -0.009454282,0.3807422995949311,(F_PU4 + F_PU7 - F_V2)*(-0.009454282),PySRFunction(X=>(F_PU4 + F_PU7 - F_V2)*(-0.009454282)),0.030306034224377068,0.17408628384906455,0.10530851149844517,0.8573141001158142,0.03092771306724297,0.17586276771176715,0.10710064701697566,0.8546704465658038,"[""F_PU4"", ""F_PU7"", ""F_V2""]",
9,0.029218575,(((F_PU7 + F_PU4) - F_V2) * -0.000117687145) * P_J415,0.018271065721861785,(F_PU4 + F_PU7 - F_V2)*(-0.000117687145)*P_J415,PySRFunction(X=>(F_PU4 + F_PU7 - F_V2)*(-0.000117687145)*P_J415),0.029218576883102313,0.17093442275651302,0.0958162295735105,0.8624340319477608,0.02990333166481027,0.17292579814709624,0.09776968339355913,0.8594840223849458,"[""F_PU4"", ""F_PU7"", ""F_V2"", ""P_J415""]",
11,0.028142132,(F_PU4 + ((L_T2 + F_PU7) - (F_V2 + L_T3))) * -0.009438038,0.018768412156480136,(F_PU4 + F_PU7 + L_T2 - (F_V2 + L_T3))*(-0.009438038),PySRFunction(X=>(F_PU4 + F_PU7 + L_T2 - (F_V2 + L_T3))*(-0.009438038)),0.028142131930393825,0.16775616808449645,0.10061621210884555,0.8675021156044953,0.02873345084193904,0.1695094417486502,0.10204463235500853,0.8649813010614988,"[""L_T2"", ""L_T3"", ""F_PU4"", ""F_PU7"", ""F_V2""]",
13,0.027895167,-0.009454282 * ((F_PU4 + (L_T2 + (F_PU7 - F_V2))) + (-0.08456466 * F_PU7)),0.004407182418852985,-0.009454282*(F_PU4 - 0.08456466*F_PU7 + F_PU7 - F_V2 + L_T2),PySRFunction(X=>-0.009454282*(F_PU4 - 0.08456466*F_PU7 + F_PU7 - F_V2 + L_T2)),0.027895166835309276,0.16701846255821323,0.10223404284706973,0.8686648687569278,0.02847335320296856,0.16874049070382768,0.10365843533891249,0.8662035017990277,"[""L_T2"", ""F_PU4"", ""F_PU7"", ""F_V2""]",
15,0.026955295,-0.009454282 * ((L_T2 + (((L_T2 + F_PU4) + F_PU7) - F_V2)) + (-0.08456466 * F_V2)),0.017136847502798636,-0.009454282*(F_PU4 + F_PU7 - F_V2 - 0.08456466*F_V2 + L_T2 + L_T2),PySRFunction(X=>-0.009454282*(F_PU4 + F_PU7 - F_V2 - 0.08456466*F_V2 + L_T2 + L_T2)),0.02695529674266722,0.16418068322024737,0.09598041691277219,0.8730899350308581,0.027671207451181432,0.16634664845190428,0.09697837625565348,0.8699727906450185,"[""L_T2"", ""F_PU4"", ""F_PU7"", ""F_V2""]",
