complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,equation_features,evaluation_error
1,0.17354544,0.0033181002,0.0,0.00331810020000000,PySRFunction(X=>0.00331810020000000),0.1735454345124084,0.41658784729323106,0.18312872232927377,-4.350075855086288e-12,[],
3,0.17263044,P1_FCV02D * 0.00056199235,0.0026431712424246274,P1_FCV02D*0.00056199235,PySRFunction(X=>V10*0.00056199235),0.17263046505042748,0.415488224923917,0.18754281878673013,0.005272218562249464,"[""P1_FCV02D""]",
5,0.12621169,0.0065442775 * (P1_B400B - P1_FT02Z),0.15659627403350485,0.0065442775*(-P1_FT02Z + P1_B400B),PySRFunction(X=>0.0065442775*(-V17 + V6)),0.12621168534045715,0.3552628397967583,0.166431291363415,0.2727455741166034,"[""P1_B400B"", ""P1_FT02Z""]",
7,0.12611057,((P1_B400B - P1_FT02Z) + P1_PIT02) * 0.0065520043,0.000400757370409953,(-P1_FT02Z + P1_PIT02 + P1_B400B)*0.0065520043,PySRFunction(X=>(-V17 + V28 + V6)*0.0065520043),0.12611057719744037,0.355120510809275,0.1666838385814665,0.27332817741758497,"[""P1_B400B"", ""P1_FT02Z"", ""P1_PIT02""]",
9,0.12597056,((P1_PIT02 * P1_PIT02) + (P1_B400B - P1_FT02Z)) * 0.0065628546,0.0005554164819758893,(-P1_FT02Z + P1_PIT02*P1_PIT02 + P1_B400B)*0.0065628546,PySRFunction(X=>(-V17 + V28*V28 + V6)*0.0065628546),0.12597055446393457,0.3549233078623248,0.16650864286815326,0.2741350135864523,"[""P1_B400B"", ""P1_FT02Z"", ""P1_PIT02""]",
11,0.12574026,((P1_PIT02 * (P1_PIT02 * P1_PIT02)) + (P1_B400B - P1_FT02Z)) * 0.0065628546,0.000914939072791637,(-P1_FT02Z + P1_PIT02*P1_PIT02*P1_PIT02 + P1_B400B)*0.0065628546,PySRFunction(X=>(-V17 + V28*V28*V28 + V6)*0.0065628546),0.1257402590726752,0.3545987296546269,0.16665025985620993,0.27546201704181494,"[""P1_B400B"", ""P1_FT02Z"", ""P1_PIT02""]",
13,0.12558812,0.006546527 * (((((P1_PIT02 * P1_PIT02) * P1_PIT02) * P1_PIT02) + P1_B400B) - P1_FT02Z),0.0006053435691720646,0.006546527*(-P1_FT02Z + P1_PIT02*P1_PIT02*P1_PIT02*P1_PIT02 + P1_B400B),PySRFunction(X=>0.006546527*(-V17 + V28*V28*V28*V28 + V6)),0.12558812713976772,0.35438415193087813,0.16772209498451174,0.2763386285950694,"[""P1_B400B"", ""P1_FT02Z"", ""P1_PIT02""]",
15,0.12552795,0.006546527 * (P1_B400B + (((P1_PIT02 * (P1_PIT02 * P1_PIT02)) * P1_PIT02) - (P1_FT02Z + 0.9634338))),0.0002396103170597877,0.006546527*(P1_PIT02*P1_PIT02*P1_PIT02*P1_PIT02 + P1_B400B - (P1_FT02Z + 0.9634338)),PySRFunction(X=>0.006546527*(V28*V28*V28*V28 + V6 - (V17 + 0.9634338))),0.12552794998365657,0.3542992379100703,0.16857878681888464,0.27668538018943134,"[""P1_B400B"", ""P1_FT02Z"", ""P1_PIT02""]",
