complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,equation_features,evaluation_error
1,0.00019422562,-5.553479e-5,0.0,-5.55347900000000e-5,PySRFunction(X=>-0.0000555347900000000),0.00019422568131408037,0.013936487409461552,0.010269419878975256,-3.568550566157569e-09,[],
3,0.00019419979,P4_HT_PS * 4.4481352e-5,6.649925409897067e-05,P4_HT_PS*4.4481352e-5,PySRFunction(X=>V70*4.4481352e-5),0.00019419981947250953,0.013935559532093052,0.010272053160208641,0.00013314999532498817,"[""P4_HT_PS""]",
5,0.0001941495,(P1_TIT02 - P1_TIT01) * 0.00024705683,0.00012949682560540804,(-P1_TIT01 + P1_TIT02)*0.00024705683,PySRFunction(X=>(-V36 + V37)*0.00024705683),0.00019414950364953979,0.013933754111851543,0.010321625978917481,0.0003922085441682155,"[""P1_TIT01"", ""P1_TIT02""]",
7,0.00019401642,((P1_TIT02 - P1_TIT01) * 0.0005733454) + -0.00052058836,0.0003428430945563778,(-P1_TIT01 + P1_TIT02)*0.0005733454 - 0.00052058836,PySRFunction(X=>(-V36 + V37)*0.0005733454 - 0.00052058836),0.00019401642809777861,0.013928977999041373,0.010388574618817075,0.0010773679491227206,"[""P1_TIT01"", ""P1_TIT02""]",
9,0.0001938329,(((P1_TIT02 - P1_TIT01) - P1_TIT01) * 0.00088295166) + 0.030735537,0.00047317348318750923,(-P1_TIT01 - P1_TIT01 + P1_TIT02)*0.00088295166 + 0.030735537,PySRFunction(X=>(-V36 - V36 + V37)*0.00088295166 + 0.030735537),0.00019383289963800627,0.013922388431515846,0.010412273342842641,0.0020222917057833856,"[""P1_TIT01"", ""P1_TIT02""]",
