complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,0.2912638,1.1201975e-5,0.0,1.12019750000000e-5,PySRFunction(X=>0.0000112019750000000),0.29126380550264586,0.5396886190227156,0.013680796350988041,-4.3082715173170527e-10,1.2548424390062496e-10,1.1201974999999999e-05,1.1201974999999999e-05,-inf,[],
3,0.20942,S_PU11 * -11.974697,0.1649437904361765,S_PU11*(-11.974697),PySRFunction(X=>S_PU11*(-11.974697)),0.20942000786612777,0.45762430864862036,0.011933315834498297,0.2809954275130515,0.0,0.0,0.0,-inf,"[""S_PU11""]",
5,0.17334151,S_PU11 * (L_T7 * -6.904926),0.09453905499382205,S_PU11*L_T7*(-6.904926),PySRFunction(X=>S_PU11*L_T7*(-6.904926)),0.1733415106290727,0.41634302039192717,0.009015212184217967,0.4048642247030647,0.0,0.0,0.0,-inf,"[""L_T7"", ""S_PU11""]",
7,0.16388671,((L_T7 - L_T1) * -10.711163) * S_PU11,0.02804414921880176,(-L_T1 + L_T7)*(-10.711163)*S_PU11,PySRFunction(X=>(-L_T1 + L_T7)*(-10.711163)*S_PU11),0.16388671869614166,0.40482924634485296,0.00713616881740692,0.4373254909448069,0.0,0.0,0.0,-inf,"[""L_T1"", ""L_T7"", ""S_PU11""]",
9,0.16383742,((S_PU11 * -10.714881) * (L_T7 - L_T1)) - -0.0070037567,0.00015040088861209997,S_PU11*(-10.714881)*(-L_T1 + L_T7) - 1*(-0.0070037567),PySRFunction(X=>S_PU11*(-10.714881)*(-L_T1 + L_T7) - 1*(-0.0070037567)),0.1638377081243418,0.4047687094185293,0.014130390682427817,0.43749375961017156,4.905260799223919e-05,0.00700375670567155,0.007003756705671549,-inf,"[""L_T1"", ""L_T7"", ""S_PU11""]",
11,0.16372977,(((L_T7 - L_T1) * (S_PU11 * P_J415)) * -0.12935804) + S_PU11,0.0003286348790775956,(-L_T1 + L_T7)*S_PU11*P_J415*(-0.12935804) + S_PU11,PySRFunction(X=>(-L_T1 + L_T7)*S_PU11*P_J415*(-0.12935804) + S_PU11),0.16372976158178335,0.4046353439601926,0.0069756416357271206,0.4378643739486703,0.0,0.0,0.0,-inf,"[""L_T1"", ""L_T7"", ""S_PU11"", ""P_J415""]",
