complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,0.28898823,-0.0073076054,0.0,-0.00730760540000000,PySRFunction(X=>-0.00730760540000000),0.28898837046253223,0.5375763857002391,0.04969587480376525,-1.3727155434573035e-07,0.08125998011831842,0.2850613620228431,0.02885205656270431,-0.0007182581787659181,[],
3,0.28533116,2_FQ_601_PV * -0.33139205,0.0063677450086435175,2_FQ_601_PV*(-0.33139205),PySRFunction(X=>2_FQ_601_PV*(-0.33139205)),0.28533123902550084,0.5341640562837421,0.07366020320837852,0.012654807746469099,0.08149542184710903,0.2854740300747321,0.051616210965627546,-0.003617727713398855,"[""2_FQ_601_PV""]",
5,0.27911276,(2_MCV_101_CO * -0.008530497) * 2_FIT_003_PV,0.011017306372231112,2_MCV_101_CO*(-0.008530497)*2_FIT_003_PV,PySRFunction(X=>2_MCV_101_CO*(-0.008530497)*2_FIT_003_PV),0.27911275918114575,0.5283112332528486,0.06376652145504245,0.03417290789708294,0.08176661364187914,0.2859486206329367,0.04253465257761005,-0.0069574600158133215,"[""2_FIT_003_PV"", ""2_MCV_101_CO""]",
7,0.27370492,1_FIT_001_PV * ((2_LS_601_AL * -4.732152) * 2_FIC_301_PV),0.009782633053328167,1_FIT_001_PV*2_LS_601_AL*(-4.732152)*2_FIC_301_PV,PySRFunction(X=>1_FIT_001_PV*2_LS_601_AL*(-4.732152)*2_FIC_301_PV),0.27370492628209864,0.5231681625272113,0.04533141933824627,0.05288588805172867,0.08169886028422797,0.2858301248717986,0.022998778446961216,-0.006123076079763701,"[""1_FIT_001_PV"", ""2_FIC_301_PV"", ""2_LS_601_AL""]",
9,0.2668717,(2_MV_501_STATUS * 2_LS_601_AL) * ((2_FIT_001_PV * 2_FIC_301_PV) * -5.4837375),0.012641286602108307,2_MV_501_STATUS*2_LS_601_AL*2_FIT_001_PV*2_FIC_301_PV*(-5.4837375),PySRFunction(X=>2_MV_501_STATUS*2_LS_601_AL*2_FIT_001_PV*2_FIC_301_PV*(-5.4837375)),0.2668716931318357,0.5165962573730434,0.044569326847477025,0.07653124816547563,0.0813993041275371,0.2853056328352756,0.022540158726688887,-0.002434036100749104,"[""2_FIC_301_PV"", ""2_FIT_001_PV"", ""2_LS_601_AL"", ""2_MV_501_STATUS""]",
11,0.2581087,2_LS_601_AL * (2_FIT_001_PV * (2_MV_501_STATUS * (2_FIC_301_PV * (-0.073155336 * 2_MCV_101_CO)))),0.016693602272609777,2_LS_601_AL*2_FIT_001_PV*2_MV_501_STATUS*2_FIC_301_PV*(-0.073155336)*2_MCV_101_CO,PySRFunction(X=>2_LS_601_AL*2_FIT_001_PV*2_MV_501_STATUS*2_FIC_301_PV*(-0.073155336)*2_MCV_101_CO),0.25810871240413436,0.5080440063657226,0.04293429444202687,0.10685420516400101,0.08154468701991872,0.2855603036486667,0.022603261205195277,-0.004224429288407938,"[""2_FIC_301_PV"", ""2_FIT_001_PV"", ""2_LS_601_AL"", ""2_MCV_101_CO"", ""2_MV_501_STATUS""]",
