complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,0.5475596,-0.008234984,0.0,-0.00823498400000000,PySRFunction(X=>-0.00823498400000000),0.5475598144178494,0.7399728470814652,0.10172269947540795,-1.7701395904623496e-12,0.038241036009381994,0.19555315392338216,0.050615930542590885,-0.001754301597014507,[],
3,0.546883,2_FIT_001_PV * -0.023651296,0.0006182143185913646,2_FIT_001_PV*(-0.023651296),PySRFunction(X=>2_FIT_001_PV*(-0.023651296)),0.5468830333003328,0.7395154043698703,0.10627277659743367,0.001235994860704026,0.03833682581720419,0.1957979208704837,0.053871800917370385,-0.004263591669895872,"[""2_FIT_001_PV""]",
5,0.54369104,(2_FQ_101_PV * 2_LS_101_AH) * -6.076647,0.0029268706182596646,2_FQ_101_PV*2_LS_101_AH*(-6.076647),PySRFunction(X=>2_FQ_101_PV*2_LS_101_AH*(-6.076647)),0.5436911282621477,0.7373541403302403,0.09789938954003155,0.007065321546381953,0.040322814685714053,0.20080541498105586,0.04479969337049172,-0.05628814695300721,"[""2_FQ_101_PV"", ""2_LS_101_AH""]",
7,0.53606546,((2_LS_101_AH * -8.966048) * 2_FQ_101_PV) * 1_MV_004_STATUS,0.007062431930098239,2_LS_101_AH*(-8.966048)*2_FQ_101_PV*1_MV_004_STATUS,PySRFunction(X=>2_LS_101_AH*(-8.966048)*2_FQ_101_PV*1_MV_004_STATUS),0.5360654962858826,0.7321649378971126,0.09944941945075988,0.020991895000984195,0.04334811886985858,0.20820211062777097,0.045407256066599594,-0.13553839214413377,"[""1_MV_004_STATUS"", ""2_FQ_101_PV"", ""2_LS_101_AH""]",
9,0.51486415,2_FQ_101_PV * (((1_MV_004_STATUS * -50.868137) - -50.698902) * 2_LS_101_AH),0.02017660051069004,2_FQ_101_PV*2_LS_101_AH*(1_MV_004_STATUS*(-50.868137) - 1*(-50.698902)),PySRFunction(X=>2_FQ_101_PV*2_LS_101_AH*(1_MV_004_STATUS*(-50.868137) - 1*(-50.698902))),0.5148641862378321,0.7175403725490519,0.09617061271780403,0.05971151884815906,0.04371297423927509,0.20907647940233517,0.04429002986700229,-0.14509606824067278,"[""1_MV_004_STATUS"", ""2_FQ_101_PV"", ""2_LS_101_AH""]",
11,0.4989338,(2_FQ_101_PV * (((1_MV_004_STATUS * -50.868137) - -50.698902) * 2_LS_101_AH)) * 2_FIT_003_PV,0.015714828919090543,2_FIT_003_PV*2_FQ_101_PV*2_LS_101_AH*(1_MV_004_STATUS*(-50.868137) - 1*(-50.698902)),PySRFunction(X=>2_FIT_003_PV*2_FQ_101_PV*2_LS_101_AH*(1_MV_004_STATUS*(-50.868137) - 1*(-50.698902))),0.498933829526502,0.7063524824947541,0.09405207857632868,0.08880488233447525,0.12716750316185416,0.3566055287875584,0.04553255547024983,-2.331253716151559,"[""1_MV_004_STATUS"", ""2_FIT_003_PV"", ""2_FQ_101_PV"", ""2_LS_101_AH""]",
15,0.4988371,(-8.766348 * 2_LS_101_AH) * ((1_MV_004_STATUS * ((1_MV_004_STATUS * (1_MV_004_STATUS * 2_FIC_101_PV)) - 2_FQ_101_PV)) * 2_FIT_003_PV),4.8458017919120685e-05,-8.766348*1_MV_004_STATUS*2_FIT_003_PV*2_LS_101_AH*(1_MV_004_STATUS*1_MV_004_STATUS*2_FIC_101_PV - 2_FQ_101_PV),PySRFunction(X=>-8.766348*1_MV_004_STATUS*2_FIT_003_PV*2_LS_101_AH*(1_MV_004_STATUS*1_MV_004_STATUS*2_FIC_101_PV - 2_FQ_101_PV)),0.49883714910486815,0.7062840427935975,0.0940771596713923,0.08898144828962451,0.2131826931415289,0.46171711376288505,0.04608922644449637,-4.584489913614508,"[""1_MV_004_STATUS"", ""2_FIC_101_PV"", ""2_FIT_003_PV"", ""2_FQ_101_PV"", ""2_LS_101_AH""]",
