target,variable_type,target_mode,equation,sympy_format,complexity,loss,score,holdout_r2,holdout_mae,baseline_holdout_mae,residual_tail_ratio,residual_p99,residual_median,selection_reason,pareto_csv
P1_FCV03D,sensor,sensors_delta_discrete_persistence,(((P1_B3005 - P1_FT03Z) * 0.0031376597) - 0.10607776) + 0.10641199,(-P1_FT03Z + P1_B3005)*0.0031376597 - 1*0.10607776 + 0.10641199,9.0,0.0024330514,0.0232530066459266,0.0544862508294639,0.03265620165496009,0.03338978081527683,4.980432651496973,0.13124228454304737,0.02635158303036178,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_FCV03D_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_FCV03Z,sensor,sensors_delta_discrete_persistence,(P1_B3005 - P1_FT03Z) * 0.0059220977,(-P1_FT03Z + P1_B3005)*0.0059220977,5.0,0.0061163614,0.0424332404746376,0.060964901127599225,0.014733656556952981,0.007678267773654726,35.32573849165159,0.27881745830959637,0.007892756675857981,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_FCV03Z_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_FT01,sensor,sensors_delta_discrete_persistence,(P1_LIT01 - P1_B3004) * -0.11296893,(-P1_B3004 + P1_LIT01)*(-0.11296893),5.0,9.890628,0.0051440496808664,0.00950450342823339,1.8713988333360203,1.86429531425367,5.647253241804163,7.9176081257145015,1.4020281695716932,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_FT01_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_FT01Z,sensor,sensors_delta_discrete_persistence,(-1.7370535 - (P1_PIT01 * (P1_PIT01 - 2.6414604))) * 82.75563,(-P1_PIT01*(P1_PIT01 - 1*2.6414604) - 1.7370535)*82.75563,9.0,122.94965,0.0041917857716718,0.0017761525086195107,4.880159143083098,4.802883591244204,6.505227685837915,21.95265482964109,3.3746174445873294,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_FT01Z_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_FT02,sensor,sensors_delta_discrete_persistence,P1_PIT02 * (P1_FCV02D * -0.16404149),P1_PIT02*P1_FCV02D*(-0.16404149),5.0,250.41235,0.0300485409991196,0.06606715992208767,9.320356646702576,9.000330703876292,16.7599872,79.9178466796875,4.76837158203125,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_FT02_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_FT02Z,sensor,sensors_delta_discrete_persistence,(P1_B400B - P1_FT02Z) * -0.3782858,(-P1_FT02Z + P1_B400B)*(-0.3782858),5.0,489.4027,0.1131995391806552,0.2201734755399648,12.680750548940937,13.43679655779981,16.274876764356435,93.3509521484375,5.735893027029562,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_FT02Z_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_FT03,sensor,sensors_delta_discrete_persistence,(P1_B3005 - P1_FT03Z) * 0.028643113,(-P1_FT03Z + P1_B3005)*0.028643113,5.0,0.38884345,0.0168038626646693,0.02718180480972021,0.4670499174561376,0.4647784469028314,4.642332345871385,1.7326346822055905,0.37322504144850654,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_FT03_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_FT03Z,sensor,sensors_delta_discrete_persistence,P1_B2004 * (P1_B3005 - P1_FT03Z),P1_B2004*(-P1_FT03Z + P1_B3005),5.0,1.3557218,0.0349008782427035,0.06673246476351036,0.7898084828648122,0.8032541387610965,4.828364109370241,3.1621554808642407,0.6549123904569569,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_FT03Z_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_LCV01D,sensor,sensors_delta_discrete_persistence,(P1_LCV01D - P1_LCV01Z) * 0.027247451,(P1_LCV01D - P1_LCV01Z)*0.027247451,5.0,0.0032052333,0.0288778946910437,0.051075756538462413,0.03695669536039422,0.037771123081135255,4.798050652487432,0.14677286454648653,0.03059010318500821,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_LCV01D_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_LCV01Z,sensor,sensors_delta_discrete_persistence,(P1_LCV01D - P1_LCV01Z) * 0.056318227,(P1_LCV01D - P1_LCV01Z)*0.056318227,5.0,0.011305698,0.0352289039867793,0.05400947045719118,0.03443513141451579,0.015991751169430142,30.489988377449496,0.6311353957847823,0.02069975849028438,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_LCV01Z_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_LIT01,sensor,sensors_delta_discrete_persistence,(P1_FT03Z * -0.0013893328) + (P1_FT01Z * 0.0016761301),P1_FT01Z*0.0016761301 + P1_FT03Z*(-0.0013893328),7.0,0.011459765,0.1133405384164794,0.2676576984764665,0.08468513315200238,0.09194688118166394,4.145535456072776,0.2846395824900236,0.0686617170462398,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_LIT01_sensors_delta_discrete_persistence/pareto_front_scored.csv
