complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,0.024360135,0.0032456862,0.0,0.00324568620000000,PySRFunction(X=>0.00324568620000000),0.02436013898051247,0.15607734935125106,0.05211934283185,-2.1773414182746365e-09,0.005230444099251053,0.07232180929187995,0.017410588602925915,-0.0020638860214221566,[],
3,0.022732079,AIT202 + -8.391024,0.03458544299614143,AIT202 - 8.391024,PySRFunction(X=>AIT202 - 8.391024),0.02273208160850345,0.15077162069999597,0.07553762181599935,0.06683284212031482,0.006080130472099055,0.07797519138866577,0.03977515267844152,-0.16484930395513708,"[""AIT202""]",
5,0.02055025,(AIT202 * 0.56930953) + -4.7756815,0.05045199619380595,AIT202*0.56930953 - 4.7756815,PySRFunction(X=>AIT202*0.56930953 - 4.7756815),0.020550252933881154,0.1433535940738186,0.060648858428001405,0.15639836886539182,0.005440203174310361,0.0737577329797382,0.028181492545387963,-0.04225014743511113,"[""AIT202""]",
7,0.019823112,FIT201 * ((AIT202 * 0.29034334) + -2.4290433),0.018012288311865847,FIT201*(AIT202*0.29034334 - 2.4290433),PySRFunction(X=>FIT201*(AIT202*0.29034334 - 2.4290433)),0.01982311530377066,0.14079458549166818,0.05031604153616272,0.18624785503931773,0.005113043724846997,0.07150555030797957,0.019832135048054308,0.020428023492063185,"[""AIT202"", ""FIT201""]",
9,0.019488167,(((AIT202 * 0.3523258) + -2.9029503) * P101) + -0.08679573,0.008520534413919563,P101*(AIT202*0.3523258 - 2.9029503) - 0.08679573,PySRFunction(X=>P101*(AIT202*0.3523258 - 2.9029503) - 0.08679573),0.019488169383552186,0.13960003360870724,0.054981339737772944,0.19999760914440368,0.0050367323954943,0.07096994008377279,0.023898151703254142,0.035047972733003085,"[""P101"", ""AIT202""]",
11,0.019424565,(((AIT202 * 0.3523258) + -2.9029503) * P101) + (-0.041163597 * MV101),0.0016344793431119938,-0.041163597*MV101 + P101*(AIT202*0.3523258 - 2.9029503),PySRFunction(X=>-0.041163597*MV101 + P101*(AIT202*0.3523258 - 2.9029503)),0.019424567618423618,0.13937204747876678,0.05912304233945906,0.20260850415275855,0.005334644600045028,0.07303865141173561,0.03233482457655999,-0.022026924870444553,"[""MV101"", ""P101"", ""AIT202""]",
