complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,equation_features,evaluation_error
1,7.875163,-0.026857628,0.0,-0.0268576280000000,PySRFunction(X=>-0.0268576280000000),7.875166504130134,2.8062727066573796,2.0706924361220866,-7.58371734299601e-08,[],
3,7.80439,P2_SIT02 - P2_SIT01,0.004513743512940856,-P2_SIT01 + P2_SIT02,PySRFunction(X=>-V48 + V49),7.804389879577347,2.7936338127208704,2.087396895698879,0.008987242701827158,"[""P2_SIT01"", ""P2_SIT02""]",
5,7.2777057,(P2_SIT01 * -0.14963505) - -117.27317,0.034935367222577195,P2_SIT01*(-0.14963505) - 1*(-117.27317),PySRFunction(X=>V48*(-0.14963505) - 1*(-117.27317)),7.2777059548995,2.6977223643102155,2.037013951840608,0.07586633209553695,"[""P2_SIT01""]",
7,7.2036886,(P2_SIT01 * -0.15974396) + (137.04056 - P1_PCV02Z),0.005111230522636765,-P1_PCV02Z + P2_SIT01*(-0.15974396) + 137.04056,PySRFunction(X=>-V26 + V48*(-0.15974396) + 137.04056),7.2036904113173845,2.6839691524526477,2.0251557948900305,0.08526493327513451,"[""P1_PCV02Z"", ""P2_SIT01""]",
9,7.0353513,(((P2_SIT01 * -0.034919616) - P1_PCV02Z) + 39.212265) * 6.018922,0.011822787520085466,(-P1_PCV02Z + P2_SIT01*(-0.034919616) + 39.212265)*6.018922,PySRFunction(X=>(-V26 + V48*(-0.034919616) + 39.212265)*6.018922),7.035351504882914,2.652423703875931,2.000139866210834,0.10664085200809492,"[""P1_PCV02Z"", ""P2_SIT01""]",
11,6.8987107,((((P2_SIT01 * -0.039412126) + 42.737858) - P1_PCV02Z) * 0.19074604) * P4_HT_PO,0.009806543141269709,(-P1_PCV02Z + P2_SIT01*(-0.039412126) + 42.737858)*0.19074604*P4_HT_PO,PySRFunction(X=>(-V26 + V48*(-0.039412126) + 42.737858)*0.19074604*V69),6.898710757907282,2.6265396928101588,1.9481275318459417,0.12399169243368069,"[""P1_PCV02Z"", ""P2_SIT01"", ""P4_HT_PO""]",
13,6.8542814,(((P2_SIT01 * -0.039412126) + (42.737858 - P1_PCV02Z)) * 0.19074604) * (P4_HT_PO - -1.6287255),0.003230530072028733,(-P1_PCV02Z + P2_SIT01*(-0.039412126) + 42.737858)*0.19074604*(P4_HT_PO - 1*(-1.6287255)),PySRFunction(X=>(-V26 + V48*(-0.039412126) + 42.737858)*0.19074604*(V69 - 1*(-1.6287255))),6.854281552545549,2.6180682864557885,1.9463821822340428,0.12963337743269843,"[""P1_PCV02Z"", ""P2_SIT01"", ""P4_HT_PO""]",
15,6.8212996,(((P2_SIT01 * -0.039412126) + (42.737858 - P1_PCV02Z)) * 0.19074604) * (P1_PIT01 + (P4_HT_PO - -1.6287255)),0.0024117340203505225,(-P1_PCV02Z + P2_SIT01*(-0.039412126) + 42.737858)*0.19074604*(P1_PIT01 + P4_HT_PO - 1*(-1.6287255)),PySRFunction(X=>(-V26 + V48*(-0.039412126) + 42.737858)*0.19074604*(V27 + V69 - 1*(-1.6287255))),6.8212995897853546,2.611761778911958,1.9450978868290498,0.13382147494710095,"[""P1_PCV02Z"", ""P1_PIT01"", ""P2_SIT01"", ""P4_HT_PO""]",
