complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,equation_features,evaluation_error
1,0.0002901794,1.8643612e-5,0.0,1.86436120000000e-5,PySRFunction(X=>0.0000186436120000000),0.0002901794129976208,0.01703465329842732,0.011826594427196949,-1.0648371073784801e-11,[],
3,0.00028619976,P3_PIT01 * 1.498903e-6,0.006904661927848769,P3_PIT01*1.498903e-6,PySRFunction(X=>V66*1.498903e-6),0.00028619980192231447,0.016917440761602048,0.01184298833579163,0.013714312228936154,"[""P3_PIT01""]",
5,0.00016068658,(P4_ST_PO - P4_ST_LD) * -0.0010056776,0.2886171344682674,(-P4_ST_LD + P4_ST_PO)*(-0.0010056776),PySRFunction(X=>(-V74 + V75)*(-0.0010056776)),0.00016068657525059336,0.012676220858386515,0.007464404653505999,0.44625094663892684,"[""P4_ST_LD"", ""P4_ST_PO""]",
7,0.00015920967,((P4_ST_PO - P4_ST_LD) * -0.0010020562) - P4_ST_FD,0.004616873419700057,-P4_ST_FD + (-P4_ST_LD + P4_ST_PO)*(-0.0010020562),PySRFunction(X=>-V72 + (-V74 + V75)*(-0.0010020562)),0.00015920965649587055,0.012617830895041768,0.007507506924113683,0.4513406211250719,"[""P4_ST_FD"", ""P4_ST_LD"", ""P4_ST_PO""]",
9,0.00015893076,-0.0010030139 * (P4_ST_PO - (P4_ST_LD - (P2_HILout * P4_ST_FD))),0.000876688547429028,-0.0010030139*(P4_ST_PO - (-P2_HILout*P4_ST_FD + P4_ST_LD)),PySRFunction(X=>-0.0010030139*(V75 - (-V43*V72 + V74))),0.00015893076191381386,0.012606774445266079,0.007472081800288206,0.4523017319743172,"[""P2_HILout"", ""P4_ST_FD"", ""P4_ST_LD"", ""P4_ST_PO""]",
11,0.00015889175,((((P4_ST_PO - P4_ST_LD) * -0.001387365) - P4_ST_FD) * 0.7235358) + 0.00030265574,0.00012274146408292532,(-P4_ST_FD + (-P4_ST_LD + P4_ST_PO)*(-0.001387365))*0.7235358 + 0.00030265574,PySRFunction(X=>(-V72 + (-V74 + V75)*(-0.001387365))*0.7235358 + 0.00030265574),0.00015889175456245175,0.012605227271352618,0.007470396202705476,0.45243615691838746,"[""P4_ST_FD"", ""P4_ST_LD"", ""P4_ST_PO""]",
13,0.00015888172,-0.0010030139 * ((P4_ST_PO - P4_ST_LD) + (P4_ST_FD * ((P4_ST_PO - P4_ST_LD) + P2_HILout))),3.156336494458358e-05,-0.0010030139*(P4_ST_FD*(P2_HILout - P4_ST_LD + P4_ST_PO) - P4_ST_LD + P4_ST_PO),PySRFunction(X=>-0.0010030139*(V72*(V43 - V74 + V75) - V74 + V75)),0.00015888173661023975,0.012604829892157996,0.007471971574992848,0.4524706802228101,"[""P2_HILout"", ""P4_ST_FD"", ""P4_ST_LD"", ""P4_ST_PO""]",
