complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,equation_features,evaluation_error
1,1.4538872,P4_ST_FD,0.0,P4_ST_FD,PySRFunction(X=>V72),1.45388722093047,1.2057724581903793,0.8281610132183841,3.514205124011127e-06,"[""P4_ST_FD""]",
3,1.4537345,P1_PIT02 * -0.018495904,5.2517148341701755e-05,P1_PIT02*(-0.018495904),PySRFunction(X=>V28*(-0.018495904)),1.453734774042651,1.2057092410870256,0.8293128047609479,0.00010836852249807016,"[""P1_PIT02""]",
5,1.3557218,(P1_B3005 - P1_FT03Z) * P1_B2004,0.03490087824270353,P1_B2004*(-P1_FT03Z + P1_B3005),PySRFunction(X=>V0*(-V19 + V3)),1.3557218550573227,1.164354694694586,0.8242219577424602,0.06752252082868537,"[""P1_B2004"", ""P1_B3005"", ""P1_FT03Z""]",
7,1.3538035,((P1_B3005 - P1_FT03Z) * P1_B2004) * 0.87841606,0.0007079839116137253,(-P1_FT03Z + P1_B3005)*P1_B2004*0.87841606,PySRFunction(X=>(-V19 + V3)*V0*0.87841606),1.3538036669558335,1.1635306901649967,0.8232113417621826,0.06884186756546673,"[""P1_B2004"", ""P1_B3005"", ""P1_FT03Z""]",
9,1.351778,((P1_B2004 * (P1_B3005 - P1_FT03Z)) * 0.0022427407) * P1_LIT01,0.0007486377247933318,P1_B2004*(-P1_FT03Z + P1_B3005)*0.0022427407*P1_LIT01,PySRFunction(X=>V0*(-V19 + V3)*0.0022427407*V22),1.3517780636339904,1.1626599088443663,0.8231558343912111,0.0702350954405705,"[""P1_B2004"", ""P1_B3005"", ""P1_FT03Z"", ""P1_LIT01""]",
11,1.3508006,(((P1_LIT01 * P1_B2004) * 6.163772e-5) * (P1_B3005 - P1_FT03Z)) * P1_TIT02,0.0003616546222236435,P1_LIT01*P1_B2004*6.163772e-5*(-P1_FT03Z + P1_B3005)*P1_TIT02,PySRFunction(X=>V22*V0*6.163772e-5*(-V19 + V3)*V37),1.3508007365460375,1.1622395349264443,0.823155024395907,0.07090730965316927,"[""P1_B2004"", ""P1_B3005"", ""P1_FT03Z"", ""P1_LIT01"", ""P1_TIT02""]",
