complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,0.16562958,0.010889602,0.0,0.0108896020000000,PySRFunction(X=>0.0108896020000000),0.16562960000695917,0.4069761663868772,0.31101304052327083,-1.1954730316787732e-08,0.17581551793732683,0.4193036106895895,0.3217542423169574,-0.0009392304462580991,[],
3,0.15848106,FIT101 * 0.039665766,0.02205937913963735,FIT101*0.039665766,PySRFunction(X=>FIT101*0.039665766),0.15848106642993257,0.3980968053500713,0.30667051804271556,0.04315974730439387,0.16770776789927355,0.40952138881781686,0.31681229373812336,0.04521918138763115,"[""FIT101""]",
5,0.10320193,(FIT201 - FIT101) * -0.19228067,0.21447376824304498,(-FIT101 + FIT201)*(-0.19228067),PySRFunction(X=>(-FIT101 + FIT201)*(-0.19228067)),0.10320194488657845,0.3212505951536564,0.24807402818797858,0.3769112156523128,0.10507155578091187,0.32414742908268124,0.2517744533927499,0.40181479189665636,"[""FIT101"", ""FIT201""]",
7,0.10318528,((FIT201 * 1.0105991) - FIT101) * -0.19144732,8.067360393172497e-05,(-FIT101 + FIT201*1.0105991)*(-0.19144732),PySRFunction(X=>(-FIT101 + FIT201*1.0105991)*(-0.19144732)),0.10318529166676668,0.3212246747477016,0.2480604928435692,0.3770117606032767,0.10505702570181936,0.3241250155446496,0.2517472792395829,0.4018975134126852,"[""FIT101"", ""FIT201""]",
9,0.10307314,(FIT201 - ((FIT101 - -0.12671407) * 0.9369904)) * -0.19898205,0.0005436869488739822,(FIT201 - 0.9369904*(FIT101 - 1*(-0.12671407)))*(-0.19898205),PySRFunction(X=>(FIT201 - 0.9369904*(FIT101 - 1*(-0.12671407)))*(-0.19898205)),0.1030731489938755,0.32105007240907996,0.2482034406179218,0.3776888296430323,0.10510843563607904,0.3242043115630621,0.2519873359832655,0.4016048303740156,"[""FIT101"", ""FIT201""]",
11,0.10306072,((FIT201 - (0.9369904 * (FIT101 - 0.20175678))) - FIT504) * -0.19898205,6.025211003679969e-05,(FIT201 - FIT504 - 0.9369904*(FIT101 - 1*0.20175678))*(-0.19898205),PySRFunction(X=>(FIT201 - FIT504 - 0.9369904*(FIT101 - 1*0.20175678))*(-0.19898205)),0.10306071369242159,0.32103070521746296,0.24820582451531803,0.37776390862409626,0.1051073366671331,0.32420261668767125,0.25198412385700913,0.4016110869385324,"[""FIT101"", ""FIT201"", ""FIT504""]",
