complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,0.0006166647,-0.00020917726,0.0,-0.000209177260000000,PySRFunction(X=>-0.000209177260000000),0.0006166648571399961,0.024832737608648712,0.006260886811420465,-8.123793016068248e-08,0.0008097297837535339,0.02845575132997781,0.007986364945588438,-5.7435710238529225e-05,[],
3,0.0006164847,PIT502 * -0.00039128348,0.00014596771589755675,PIT502*(-0.00039128348),PySRFunction(X=>PIT502*(-0.00039128348)),0.0006164846736789119,0.02482910940164612,0.006498683370800185,0.0002921090395532344,0.0008095776876597851,0.02845307870266037,0.008200308276805145,0.00013041069549801776,"[""PIT502""]",
5,0.0006144713,(PIT502 * -0.0068332916) + 0.007969377,0.001635640750357072,0.007969377 + PIT502*(-0.0068332916),PySRFunction(X=>0.007969377 + PIT502*(-0.0068332916)),0.0006144713542447828,0.02478853271665717,0.007053001036130203,0.0035569612106732817,0.0008052486091026762,0.028376902739775466,0.00836963368239201,0.005477042729633785,"[""PIT502""]",
7,0.0006139084,P302 * ((PIT502 * -0.0045167226) + 0.0052946196),0.0004582459636878092,P302*(0.0052946196 + PIT502*(-0.0045167226)),PySRFunction(X=>P302*(0.0052946196 + PIT502*(-0.0045167226))),0.0006139084490874913,0.024777175970789957,0.007191250469186343,0.00446978313737012,0.0008046433955323626,0.028366236894102864,0.008516508152614339,0.006224512247649194,"[""P302"", ""PIT502""]",
9,0.0006137182,P302 * (((PIT502 * -0.004553309) + 0.0053379303) * MV303),0.0001549331054913589,MV303*P302*(0.0053379303 + PIT502*(-0.004553309)),PySRFunction(X=>MV303*P302*(0.0053379303 + PIT502*(-0.004553309))),0.0006137182842426592,0.024773338173178422,0.007219285565874695,0.0047781594913635095,0.000804575416872671,0.0283650386368972,0.008529694310257756,0.006308469347237389,"[""MV303"", ""P302"", ""PIT502""]",
11,0.0006135347,((P302 * FIT503) * ((PIT502 * -0.0064842426) + 0.0076189693)) * MV303,0.0001495209352265447,FIT503*MV303*P302*(0.0076189693 + PIT502*(-0.0064842426)),PySRFunction(X=>FIT503*MV303*P302*(0.0076189693 + PIT502*(-0.0064842426))),0.0006135347843480921,0.024769634320031698,0.007265731423368228,0.0050757277853072935,0.0008044539538145093,0.028362897486232067,0.008576919854066905,0.006458482397165843,"[""MV303"", ""P302"", ""FIT503"", ""PIT502""]",
13,0.0006135232,((-0.0068332916 * PIT502) + 0.007969377) * ((MV302 * (FIT401 + -1.0798527)) * FIT502),9.372010889096392e-06,FIT502*MV302*(0.007969377 - 0.0068332916*PIT502)*(FIT401 - 1.0798527),PySRFunction(X=>FIT502*MV302*(0.007969377 - 0.0068332916*PIT502)*(FIT401 - 1.0798527)),0.0006135231405331164,0.02476939927679144,0.007298322955386008,0.0050946097043703675,0.0008038090198506524,0.028351525882228147,0.008652297676984028,0.0072550086199105746,"[""MV302"", ""FIT401"", ""FIT502"", ""PIT502""]",
15,0.00061336247,((P302 * ((FIT401 + -1.0798527) * FIT502)) * ((-0.0068332916 * PIT502) + 0.007969377)) * MV303,0.00013100650276527578,FIT502*MV303*P302*(0.007969377 - 0.0068332916*PIT502)*(FIT401 - 1.0798527),PySRFunction(X=>FIT502*MV303*P302*(0.007969377 - 0.0068332916*PIT502)*(FIT401 - 1.0798527)),0.0006133624609270509,0.024766155554042917,0.007387926433768295,0.00535517201347302,0.0008037382826176498,0.028350278351678485,0.008673236479482696,0.007342372697736521,"[""MV303"", ""P302"", ""FIT401"", ""FIT502"", ""PIT502""]",
