complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,equation_features,evaluation_error
1,1.1986331e-05,-2.6609055e-6,0.0,-2.66090550000000e-6,PySRFunction(X=>-0.00000266090550000000),1.1986333105500579e-05,0.0034621284068475245,0.0013331025850869995,-4.498606154257345e-09,[],
3,1.1985346e-05,P4_ST_FD * P4_ST_FD,4.1090158212749055e-05,P4_ST_FD*P4_ST_FD,PySRFunction(X=>V72*V72),1.1985346278435133e-05,0.0034619858865158784,0.0013333397017146968,8.232485610126794e-05,"[""P4_ST_FD""]",
5,1.19783745e-05,(P1_PCV02Z * -0.00091223157) + 0.010800581,0.0002909189412667957,0.010800581 + P1_PCV02Z*(-0.00091223157),PySRFunction(X=>0.010800581 + V26*(-0.00091223157)),1.1978376166435948e-05,0.0034609790762782644,0.001391531446300771,0.0006638298058796455,"[""P1_PCV02Z""]",
7,1.19762935e-05,P1_PIT02 * ((P1_PCV02Z * -0.0014637145) + 0.017308565),8.687242107615813e-05,P1_PIT02*(0.017308565 + P1_PCV02Z*(-0.0014637145)),PySRFunction(X=>V28*(0.017308565 + V26*(-0.0014637145))),1.1976295664396375e-05,0.0034606784976932447,0.0013745889217029008,0.0008374026601146722,"[""P1_PCV02Z"", ""P1_PIT02""]",
9,1.1674836e-05,(((P1_PCV02Z + 0.9528146) - P1_PCV02Z) - 0.9528143) * P1_FT03Z,0.012746698908982331,P1_FT03Z*(-P1_PCV02Z + P1_PCV02Z - 1*0.9528143 + 0.9528146),PySRFunction(X=>V19*(-V26 + V26 - 1*0.9528143 + 0.9528146)),1.2086802238136159e-05,0.003476607863728114,0.0015933954473028122,-0.008381978552159275,"[""P1_FT03Z"", ""P1_PCV02Z""]",
11,1.1626891e-05,(((P1_PCV02Z + (0.9528146 - P1_PCV02Z)) - 0.9528143) * P1_FT03Z) * 1.5585098,0.0020575757178963334,(-P1_PCV02Z + P1_PCV02Z - 1*0.9528143 + 0.9528146)*P1_FT03Z*1.5585098,PySRFunction(X=>(-V26 + V26 - 1*0.9528143 + 0.9528146)*V19*1.5585098),1.2229659089647228e-05,0.0034970929483854486,0.001740031357753374,-0.020300290090503603,"[""P1_FT03Z"", ""P1_PCV02Z""]",
13,1.1625176e-05,((P1_PCV02Z + (0.9528146 - P1_PCV02Z)) - 0.9528143) * ((P1_FT03Z * 1.5585098) + P1_B4005),7.375688376913165e-05,(P1_FT03Z*1.5585098 + P1_B4005)*(-P1_PCV02Z + P1_PCV02Z - 1*0.9528143 + 0.9528146),PySRFunction(X=>(V19*1.5585098 + V5)*(-V26 + V26 - 1*0.9528143 + 0.9528146)),1.2248172834995343e-05,0.003499738966693851,0.0017555574908050323,-0.021844861334139765,"[""P1_B4005"", ""P1_FT03Z"", ""P1_PCV02Z""]",
