complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,0.0001499773,-0.00015005497,0.0,-0.000150054970000000,PySRFunction(X=>-0.000150054970000000),0.0001499775000030217,0.012246530120937184,0.00030000995350900006,-2.014788336168749e-11,0.00010749606146756665,0.010368030742024574,0.0002575123880339782,-0.00020950731668167855,[],
3,0.00014444444,2_LS_201_AH * -0.037037022,0.018794506983350327,2_LS_201_AH*(-0.037037022),PySRFunction(X=>2_LS_201_AH*(-0.037037022)),0.00014444444444444528,0.012018504251546666,0.0002888888340443373,0.03689257092266973,0.00010592557175426188,0.010292014951128952,0.00016917129642842583,0.014403295431114072,"[""2_LS_201_AH""]",
5,0.00013333332,(2_LS_201_AH * 2_LS_501_AH) * -0.3333403,0.04002138845215516,2_LS_201_AH*2_LS_501_AH*(-0.3333403),PySRFunction(X=>2_LS_201_AH*2_LS_501_AH*(-0.3333403)),0.0001333333333405868,0.0115470053841066,0.00016666701436042787,0.1109777577264136,0.00010747354497354498,0.010366944823502484,0.00010747354497354498,0.0,"[""2_LS_201_AH"", ""2_LS_501_AH""]",
7,0.0001,(2_LS_501_AH * 2_LS_201_AH) * (1_MV_001_STATUS - 1.9999987),0.14384098622588787,2_LS_201_AH*2_LS_501_AH*(1_MV_001_STATUS - 1*1.9999987),PySRFunction(X=>2_LS_201_AH*2_LS_501_AH*(1_MV_001_STATUS - 1*1.9999987)),0.00010000000000025792,0.010000000000012896,0.00010000019669532775,0.3332333183293632,0.00010747354497354498,0.010366944823502484,0.00010747354497354498,0.0,"[""1_MV_001_STATUS"", ""2_LS_201_AH"", ""2_LS_501_AH""]",
9,9.743589e-05,((2_LS_501_AH * (1_MV_001_STATUS - 1.9743159)) + -0.025643349) * 2_LS_201_AH,0.012987781359526565,2_LS_201_AH*(2_LS_501_AH*(1_MV_001_STATUS - 1*1.9743159) - 0.025643349),PySRFunction(X=>2_LS_201_AH*(2_LS_501_AH*(1_MV_001_STATUS - 1*1.9743159) - 0.025643349)),9.743589770626783e-05,0.009870962349551732,0.00019488650560379027,0.35032989810959747,0.00010588366123300454,0.010289978679910106,0.0001501912596049132,0.014793256711982394,"[""1_MV_001_STATUS"", ""2_LS_201_AH"", ""2_LS_501_AH""]",
11,9.6942946e-05,(2_LS_201_AH * (-0.025643349 + (2_LS_501_AH * (1_MV_001_STATUS - 1.9743159)))) * 2_MV_301_STATUS,0.002536001690828208,2_LS_201_AH*2_MV_301_STATUS*(2_LS_501_AH*(1_MV_001_STATUS - 1*1.9743159) - 0.025643349),PySRFunction(X=>2_LS_201_AH*2_MV_301_STATUS*(2_LS_501_AH*(1_MV_001_STATUS - 1*1.9743159) - 0.025643349)),9.694294403342098e-05,0.009845960797881585,0.00021924768686294556,0.35361674895620343,0.00010687047465380686,0.010337817693004982,0.0001782810719555648,0.00561133737504016,"[""1_MV_001_STATUS"", ""2_LS_201_AH"", ""2_LS_501_AH"", ""2_MV_301_STATUS""]",
