variant,target,variable_type,source,S,G,complexity,equation,holdout_r2,residual_tail_ratio,delta,threshold,growth_cap,max_train_cusum,max_test_cusum,total_alarm_rate,benign_alarm_rate,attack_alarm_rate,num_alarm_intervals,longest_alarm_interval
geco_matched_plus_actuator_persistence,L_T1,sensor,selected_sensor_delta,1.0,1.0,5.0,(F_PU1 * -0.018509276) - -1.8689289,0.6093577949599578,3.2443263748671884,0.20114243133850856,0.8254885801083667,1.0266310114468753,0.8254885801083667,1.0266310114468753,0.019636015325670497,0.0013572204125950054,0.1565040650406504,12,19
geco_matched_plus_actuator_persistence,L_T2,sensor,selected_sensor_delta,1.0,1.0,3.0,S_V2 + -0.7296837,0.6329362486388168,3.732356656969232,0.3918758112377071,1.0811109939262775,1.4729868051639845,1.0811109939262775,1.10903952010541,0.00023946360153256704,0.0002714440825190011,0.0,1,1
geco_matched_plus_actuator_persistence,L_T3,sensor,selected_sensor_delta,1.0,1.0,3.0,S_PU4 + -0.4228445,0.6321403815481337,6.739641591963922,0.3212550695335742,0.701833295609248,1.0230883651428222,0.701833295609248,0.6359005449073437,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,L_T4,sensor,selected_sensor_delta,1.0,1.0,3.0,S_PU7 + -0.8458245,0.32571272981024224,6.371371477956238,0.5327790179687165,1.8912197357575806,2.423998753726297,1.8912197357575806,2.423998753726297,0.017001915708812262,0.0,0.1443089430894309,5,39
geco_matched_plus_actuator_persistence,L_T5,sensor,selected_sensor_delta,1.0,1.0,3.0,S_PU8 - 0.59500384,0.6858794854568699,8.380126141404594,0.39617782235066956,1.0537554648234027,1.4499332871740722,1.0537554648234027,0.8388261225535052,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,L_T6,sensor,selected_sensor_delta,1.0,1.0,5.0,(L_T7 * -0.12331614) - -0.40589386,0.4130395576430216,3.9860977911077162,0.17158750089943808,0.31646509006687396,0.48805259096631204,0.31646509006687396,0.48805259096631204,0.0014367816091954023,0.0,0.012195121951219513,3,2
geco_matched_plus_actuator_persistence,L_T7,sensor,selected_sensor_delta,1.0,1.0,3.0,S_PU10 - 0.813014,0.43651015063671006,4.764365050630201,0.7253527589439241,2.027260050179336,2.75261280912326,2.027260050179336,2.75261280912326,0.0035919540229885057,0.0013572204125950054,0.02032520325203252,4,7
geco_matched_plus_actuator_persistence,F_PU1,sensor,selected_sensor_delta,1.0,1.0,3.0,L_T1 + -2.669049,0.09726981594327044,16.854552680878445,6.148236425507404,22.450271669493816,28.598508095001222,22.450271669493816,28.598508095001222,0.0011973180076628352,0.0,0.01016260162601626,2,4
geco_matched_plus_actuator_persistence,F_PU2,sensor,selected_sensor_delta,1.0,1.0,3.0,32.344326 - P_J269,0.09095408580152353,23.809450915382808,24.076309474852824,66.80930299365303,90.88561246850585,66.80930299365303,90.88561246850585,0.0004789272030651341,0.0,0.0040650406504065045,1,2
geco_matched_plus_actuator_persistence,F_PU3,sensor,selected_sensor_delta,1.0,1.0,1.0,0.0,-inf,0.0,1e-06,1e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,F_PU4,sensor,selected_sensor_delta,1.0,1.0,7.0,((S_PU4 + L_T3) * -13.3848715) - -61.893787,0.5446333617168739,2.688539718614763,13.248216087853752,8.40428548620191,21.652501574055663,8.40428548620191,8.713501247502595,0.0011973180076628352,0.0008143322475570033,0.0040650406504065045,5,1
geco_matched_plus_actuator_persistence,F_PU5,sensor,selected_sensor_delta,1.0,1.0,7.0,(S_PU11 - (P_J307 * 0.09781639)) * S_PU5,-inf,0.0,1e-06,1e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,F_PU6,sensor,selected_sensor_delta,1.0,1.0,3.0,S_PU6 * -15.802054,0.2495838490947454,0.0,1.3526648265693488,83.4288473914765,84.78151221804585,83.4288473914765,84.78151221804585,0.020833333333333332,0.0,0.17682926829268292,10,20
geco_matched_plus_actuator_persistence,F_PU7,sensor,selected_sensor_delta,1.0,1.0,3.0,41.705242 - F_PU7,0.37764841100804347,5.1720897103496215,25.213597292822932,63.276299831441314,88.48989712426425,63.276299831441314,88.48989712426425,0.01867816091954023,0.0002714440825190011,0.1565040650406504,2,77
geco_matched_plus_actuator_persistence,F_PU8,sensor,selected_sensor_delta,1.0,1.0,5.0,P_J302 + (L_T5 * -9.125825),0.4162477871935484,4.905129671049373,16.78591692331516,19.962357670514944,36.748274593830104,19.962357670514944,36.748274593830104,0.0040708812260536395,0.0002714440825190011,0.032520325203252036,6,6
geco_matched_plus_actuator_persistence,F_PU9,sensor,selected_sensor_delta,1.0,1.0,3.0,S_PU3 * -0.513481,-inf,0.0,1e-06,1e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,F_PU10,sensor,selected_sensor_delta,1.0,1.0,3.0,67.91816 - P_J317,0.42073536588669425,10.887175664537754,15.293157883316429,28.4847787463066,43.77793662962303,28.4847787463066,43.77793662962303,0.004549808429118774,0.0,0.03861788617886179,3,10
geco_matched_plus_actuator_persistence,F_PU11,sensor,selected_sensor_delta,1.0,1.0,3.0,S_PU11 * -11.974697,-inf,0.0,0.418746930912535,41.62570958568037,42.0444565165929,41.62570958568037,42.0444565165929,0.009339080459770116,0.0005428881650380022,0.07520325203252033,8,14
geco_matched_plus_actuator_persistence,F_V2,sensor,selected_sensor_delta,1.0,1.0,5.0,L_T1 * (27.468645 - P_J300),0.21971716105443273,13.092701887049648,29.37579567072853,65.94182068153054,95.31761635225908,65.94182068153054,77.22726605495589,0.0009578544061302681,0.0005428881650380022,0.0040650406504065045,4,1
geco_matched_plus_actuator_persistence,P_J269,sensor,selected_sensor_delta,1.0,1.0,3.0,S_V2 - S_PU2,0.07579739196654967,21.918450899227214,3.4070213468145347,12.260615524523356,15.66763687133789,12.260615524523356,15.66763687133789,0.0009578544061302681,0.0,0.008130081300813009,2,3
geco_matched_plus_actuator_persistence,P_J300,sensor,selected_sensor_delta,1.0,1.0,5.0,L_T3 + (S_PU7 - 5.046974),0.272826500179711,7.331988220433037,2.1099545423828,5.421817518542516,7.5317720609253165,5.421817518542516,6.397111870120275,0.0007183908045977011,0.0002714440825190011,0.0040650406504065045,2,2
geco_matched_plus_actuator_persistence,P_J256,sensor,selected_sensor_delta,1.0,1.0,5.0,(4.201238 - L_T3) * 6.0064683,0.3197015694872337,3.904550168081942,8.431163749376763,11.319754769981275,19.750918519358038,11.319754769981275,10.390316873864949,0.0,0.0,0.0,0,0
