complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,0.0003,0.0,0.0,0.0,PySRFunction(X=>0.0),0.0003,0.017320508075688773,0.0003,0.0,9.093915343915344e-05,0.009536202254522156,9.093915343915344e-05,0.0,[],
3,0.00029648433,2_LS_301_AH * -0.023425382,0.005894053765354875,2_LS_301_AH*(-0.023425382),PySRFunction(X=>2_LS_301_AH*(-0.023425382)),0.0002964843759398712,0.01721872166973702,0.0004428948279470205,0.011718746867095842,8.999292461762747e-05,0.009486460067782265,0.00013935470740463604,0.01040507620470732,"[""2_LS_301_AH""]",
5,0.00029454567,(2_LS_301_AH * -0.3891674) * 2_FQ_201_PV,0.0032801498281363585,2_LS_301_AH*(-0.3891674)*2_FQ_201_PV,PySRFunction(X=>2_LS_301_AH*(-0.3891674)*2_FQ_201_PV),0.00029454569853838545,0.017162333714806546,0.00042315552551299335,0.018181004872048434,8.939261024527424e-05,0.00945476653573605,0.0001391747166361369,0.01700635133923889,"[""2_FQ_201_PV"", ""2_LS_301_AH""]",
7,0.00028258385,(2_FQ_201_PV * 2_LS_301_AH) * (2_MV_301_STATUS + -1.6186353),0.020729373382019474,2_FQ_201_PV*2_LS_301_AH*(2_MV_301_STATUS - 1.6186353),PySRFunction(X=>2_FQ_201_PV*2_LS_301_AH*(2_MV_301_STATUS - 1.6186353)),0.0002825838660481039,0.0168102309933,0.0005211153543088586,0.05805377983965365,9.155306751685003e-05,0.009568336716318569,0.00016986739289855693,-0.006750822439834492,"[""2_FQ_201_PV"", ""2_LS_301_AH"", ""2_MV_301_STATUS""]",
9,0.00027308622,2_LS_301_AH * (((3_AIT_003_PV * 2_FQ_201_PV) * 2_FIC_601_SP) * -0.27878797),0.0170938756031762,2_LS_301_AH*3_AIT_003_PV*2_FQ_201_PV*2_FIC_601_SP*(-0.27878797),PySRFunction(X=>2_LS_301_AH*3_AIT_003_PV*2_FQ_201_PV*2_FIC_601_SP*(-0.27878797)),0.0002730862238457775,0.016525320688137266,0.00043819612888328264,0.0897125871807416,0.00010303777733669936,0.010150752550264408,0.00021093978583555553,-0.13304086787701408,"[""2_FIC_601_SP"", ""2_FQ_201_PV"", ""2_LS_301_AH"", ""3_AIT_003_PV""]",
11,0.00025549665,(3_AIT_003_PV * ((2_FIC_201_PV * (2_FIC_301_SP * 2_LS_301_AH)) * -0.28339157)) * 2_FIT_001_PV,0.03328913574350657,3_AIT_003_PV*2_FIC_201_PV*2_FIC_301_SP*2_LS_301_AH*(-0.28339157)*2_FIT_001_PV,PySRFunction(X=>3_AIT_003_PV*2_FIC_201_PV*2_FIC_301_SP*2_LS_301_AH*(-0.28339157)*2_FIT_001_PV),0.00025549666644693276,0.015984263087391072,0.00034751119991497433,0.14834444517689072,9.093915343915344e-05,0.009536202254522156,9.093915343915344e-05,0.0,"[""2_FIC_201_PV"", ""2_FIC_301_SP"", ""2_FIT_001_PV"", ""2_LS_301_AH"", ""3_AIT_003_PV""]",
15,0.00025217066,(2_FQ_201_PV * (((-1.4894639 * 2_LS_301_AH) * ((3_AIT_005_PV * 2_FIC_301_SP) * 3_AIT_003_PV)) * 2_FQ_201_PV)) * 1_P_005_STATUS,0.003275804372414654,2_FQ_201_PV*(-1.4894639)*2_LS_301_AH*3_AIT_005_PV*2_FIC_301_SP*3_AIT_003_PV*2_FQ_201_PV*1_P_005_STATUS,PySRFunction(X=>2_FQ_201_PV*(-1.4894639)*2_LS_301_AH*3_AIT_005_PV*2_FIC_301_SP*3_AIT_003_PV*2_FQ_201_PV*1_P_005_STATUS),0.0002521706440154883,0.01587988173808257,0.00030079086150981314,0.15943118661503886,9.139214606628687e-05,0.009559923957139348,0.00013129204616951355,-0.0049812716525508005,"[""1_P_005_STATUS"", ""2_FIC_301_SP"", ""2_FQ_201_PV"", ""2_LS_301_AH"", ""3_AIT_003_PV"", ""3_AIT_005_PV""]",
