complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,equation_features,evaluation_error
1,4.5997764e-05,-1.7224811e-5,0.0,-1.72248110000000e-5,PySRFunction(X=>-0.0000172248110000000),4.599776397538042e-05,0.006782165139200049,0.004680290402034527,-1.816324868286756e-13,[],
3,4.544448e-05,P3_PIT01 * 5.654075e-7,0.0060507127548187776,P3_PIT01*5.654075e-7,PySRFunction(X=>V66*5.654075e-7),4.544448201158527e-05,0.006741252258414995,0.004680808559408077,0.012028453471847778,"[""P3_PIT01""]",
5,2.6108413e-05,(P4_ST_PO - P4_ST_LD) * -0.00039481284,0.2771168807742142,(-P4_ST_LD + P4_ST_PO)*(-0.00039481284),PySRFunction(X=>(-V74 + V75)*(-0.00039481284)),2.610841033647032e-05,0.005109638963417114,0.002967311172143898,0.432398271567088,"[""P4_ST_LD"", ""P4_ST_PO""]",
7,2.610188e-05,((P4_ST_PO + -0.19281225) - P4_ST_LD) * -0.0003948156,0.0001251285840149909,(-P4_ST_LD + P4_ST_PO - 0.19281225)*(-0.0003948156),PySRFunction(X=>(-V74 + V75 - 0.19281225)*(-0.0003948156)),2.6101879637316925e-05,0.0051089998666389615,0.0029670359083706207,0.43254025018928555,"[""P4_ST_LD"", ""P4_ST_PO""]",
9,2.5838222e-05,((P4_ST_PO - P4_ST_LD) * -0.0003931348) + (P4_ST_FD * -0.2861997),0.005076236944211436,P4_ST_FD*(-0.2861997) + (-P4_ST_LD + P4_ST_PO)*(-0.0003931348),PySRFunction(X=>V72*(-0.2861997) + (-V74 + V75)*(-0.0003931348)),2.5838222795617122e-05,0.005083131199921671,0.0029730011963474286,0.4382721992866584,"[""P4_ST_FD"", ""P4_ST_LD"", ""P4_ST_PO""]",
11,2.5834295e-05,(((P2_SIT01 * P4_ST_FD) + (P4_ST_PO - P4_ST_LD)) * -0.0003927995) + 6.836013e-5,7.599784635145552e-05,6.836013e-5 + (P2_SIT01*P4_ST_FD - P4_ST_LD + P4_ST_PO)*(-0.0003927995),PySRFunction(X=>6.836013e-5 + (V48*V72 - V74 + V75)*(-0.0003927995)),2.583429677769805e-05,0.005082745004197835,0.0029757382637728134,0.43835755165120327,"[""P2_SIT01"", ""P4_ST_FD"", ""P4_ST_LD"", ""P4_ST_PO""]",
