complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,0.001954265,0.00021018262,0.0,0.000210182620000000,PySRFunction(X=>0.000210182620000000),0.001954265733915311,0.04420707787125622,0.0028887868780620037,-1.338578625720288e-08,0.000714368744759816,0.026727677504037196,0.0014862990716312148,-6.1481355700721e-05,[],
3,0.001944389,2_FIC_101_PV * -0.014559889,0.002533187383358786,2_FIC_101_PV*(-0.014559889),PySRFunction(X=>2_FIC_101_PV*(-0.014559889)),0.001944389186003831,0.04409522860813663,0.004383062488041469,0.005053827487684903,0.0007118571744149771,0.026680651686474547,0.0029256335682801785,0.003454524597825692,"[""2_FIC_101_PV""]",
5,0.001920142,2_P_003_SPEED * (2_FIC_101_PV * -0.0010495004),0.006274323631376982,2_P_003_SPEED*2_FIC_101_PV*(-0.0010495004),PySRFunction(X=>2_P_003_SPEED*2_FIC_101_PV*(-0.0010495004)),0.0019201421139688876,0.04381942621679211,0.0038885831807267983,0.01746108200722829,0.0007050632075157857,0.026553026334408394,0.0023353108432061197,0.012965557452113474,"[""2_FIC_101_PV"", ""2_P_003_SPEED""]",
7,0.0019053002,2_FQ_101_PV * (2_FQ_101_PV * (1_FIT_001_PV * -0.028256414)),0.0038797800864992845,2_FQ_101_PV*2_FQ_101_PV*1_FIT_001_PV*(-0.028256414),PySRFunction(X=>2_FQ_101_PV*2_FQ_101_PV*1_FIT_001_PV*(-0.028256414)),0.0019053004353782779,0.043649747254460455,0.0034680125112748414,0.025055585933540514,0.0007254823573951666,0.026934779698285387,0.002007194186975022,-0.015619687109871716,"[""1_FIT_001_PV"", ""2_FQ_101_PV""]",
9,0.0018642496,((1_FIT_001_PV * 2_FQ_101_PV) * -0.033034723) * (2_FQ_101_PV * 2_MV_401_STATUS),0.010890484293497697,1_FIT_001_PV*2_FQ_101_PV*(-0.033034723)*2_FQ_101_PV*2_MV_401_STATUS,PySRFunction(X=>1_FIT_001_PV*2_FQ_101_PV*(-0.033034723)*2_FQ_101_PV*2_MV_401_STATUS),0.0018642497077001924,0.04317695806446064,0.003713981500290822,0.04606129028334649,0.0007773493723455599,0.02788098585677271,0.0024560477287167387,-0.08822953207478301,"[""1_FIT_001_PV"", ""2_FQ_101_PV"", ""2_MV_401_STATUS""]",
11,0.0018216966,(2_FQ_101_PV * (-0.028256414 * ((1_FIT_001_PV * 2_FQ_101_PV) * 2_MV_401_STATUS))) * 2_MV_401_STATUS,0.011545174106940215,2_FQ_101_PV*(-0.028256414)*1_FIT_001_PV*2_FQ_101_PV*2_MV_401_STATUS*2_MV_401_STATUS,PySRFunction(X=>2_FQ_101_PV*(-0.028256414)*1_FIT_001_PV*2_FQ_101_PV*2_MV_401_STATUS*2_MV_401_STATUS),0.0018216967700572506,0.04268133983437318,0.0037558793428410253,0.0678356771919747,0.0008961153734357619,0.0299351862101401,0.0028482036388978453,-0.2544928293651676,"[""1_FIT_001_PV"", ""2_FQ_101_PV"", ""2_MV_401_STATUS""]",
13,0.0018125809,-0.07297945 * ((2_FQ_101_PV * 2_MV_401_STATUS) * ((1_MV_001_STATUS * (2_PIC_003_PV * 2_FQ_201_PV)) * 2_FQ_101_PV)),0.002508261715501905,-0.07297945*2_FQ_101_PV*2_FQ_101_PV*2_FQ_201_PV*2_MV_401_STATUS*2_PIC_003_PV*1_MV_001_STATUS,PySRFunction(X=>-0.07297945*2_FQ_101_PV*2_FQ_101_PV*2_FQ_201_PV*2_MV_401_STATUS*2_PIC_003_PV*1_MV_001_STATUS),0.001812580852941138,0.04257441547386338,0.0035219738734551505,0.07250030241664829,0.0010139110613352547,0.03184197012333337,0.0023632891589229696,-0.41939776256978045,"[""1_MV_001_STATUS"", ""2_FQ_101_PV"", ""2_FQ_201_PV"", ""2_MV_401_STATUS"", ""2_PIC_003_PV""]",
15,0.0017850708,(2_FQ_101_PV * -0.020521557) * (2_MV_401_STATUS * ((1_MV_001_STATUS * (2_PIC_003_PV * 2_FQ_201_PV)) * (2_FQ_101_PV * 2_FIC_101_PV))),0.0076468314614021,2_FQ_101_PV*(-0.020521557)*2_MV_401_STATUS*1_MV_001_STATUS*2_PIC_003_PV*2_FQ_201_PV*2_FQ_101_PV*2_FIC_101_PV,PySRFunction(X=>2_FQ_101_PV*(-0.020521557)*2_MV_401_STATUS*1_MV_001_STATUS*2_PIC_003_PV*2_FQ_201_PV*2_FQ_101_PV*2_FIC_101_PV),0.0017850707426092082,0.042250097545558495,0.0028342311274549264,0.08657725736844923,0.0007776564391566194,0.027886492055413128,0.001609981177634256,-0.08865940207147038,"[""1_MV_001_STATUS"", ""2_FIC_101_PV"", ""2_FQ_101_PV"", ""2_FQ_201_PV"", ""2_MV_401_STATUS"", ""2_PIC_003_PV""]",
