dataset,scenarios,detected,connected_detected,detected_disconnected,geco_style_D_eq_0,geco_style_D_le_1,geco_style_D_le_2,geco_style_D_le_3,mean_finite_hops,conservative_D_eq_0,conservative_D_le_1,conservative_D_le_2,conservative_D_le_3
SWaT,32,25,23,2,69.56521739130434,95.65217391304348,100.0,100.0,0.34782608695652173,50.0,68.75,71.875,71.875
WADI,15,9,8,1,87.5,87.5,100.0,100.0,0.25,46.666666666666664,46.666666666666664,53.333333333333336,53.333333333333336
HAI,50,47,33,14,51.515151515151516,75.75757575757575,87.87878787878788,93.93939393939394,1.0909090909090908,34.0,50.0,57.99999999999999,62.0
BATADAL,14,14,11,3,54.54545454545454,100.0,100.0,100.0,0.45454545454545453,42.857142857142854,78.57142857142857,78.57142857142857,78.57142857142857
