complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,198.90729,S_PU8,0.0,S_PU8,PySRFunction(X=>S_PU8),198.90728317753226,14.103449336156466,6.441129103643164,0.008347233817751154,198.97578893547848,14.105877815133608,6.441050533834658,0.008880237037603655,"[""S_PU8""]",
3,146.02557,79.42462 - P_J256,0.1545285467060189,79.42462 - P_J256,PySRFunction(X=>79.42462 - P_J256),146.02560297961196,12.084105385985838,10.068918562370893,0.2719889849437157,145.62297428591793,12.067434453350801,10.045747238751416,0.2746363337554617,"[""P_J256""]",
5,141.99142,(L_T3 * -11.274982) + 47.368763,0.014007555059705792,47.368763 + L_T3*(-11.274982),PySRFunction(X=>47.368763 + L_T3*(-11.274982)),141.99145256574752,11.916016640041567,9.09595027307397,0.2921012520924926,141.2659163561518,11.885533911278525,9.073518800953208,0.2963393069949022,"[""L_T3""]",
7,91.50555,((S_PU4 + L_T3) * -13.3848715) - -61.893787,0.21968350353041943,(L_T3 + S_PU4)*(-13.3848715) - 1*(-61.893787),PySRFunction(X=>(L_T3 + S_PU4)*(-13.3848715) - 1*(-61.893787)),91.50556964161551,9.56585436025531,7.991511645926733,0.5437987498165163,91.41875620120504,9.56131561037523,7.9832859322360665,0.5446333623743722,"[""L_T3"", ""S_PU4""]",
9,91.02741,((S_PU4 + L_T3) * -13.062389) - (S_PU4 + -60.825626),0.002619478112948795,(L_T3 + S_PU4)*(-13.062389) - (S_PU4 - 60.825626),PySRFunction(X=>(L_T3 + S_PU4)*(-13.062389) - (S_PU4 - 60.825626)),91.02742848187,9.540829548937031,7.925840647797607,0.5461825237845315,90.99626335964105,9.539196158987457,7.923594609787475,0.5467378445690376,"[""L_T3"", ""S_PU4""]",
11,90.249374,(((S_PU4 + L_T3) * -13.062389) - (L_T2 + -60.825626)) + L_T5,0.004292004526476275,L_T5 - (L_T2 - 60.825626) + (L_T3 + S_PU4)*(-13.062389),PySRFunction(X=>L_T5 - (L_T2 - 60.825626) + (L_T3 + S_PU4)*(-13.062389)),90.24936646538669,9.499966656014466,7.688168575230255,0.5500615539466316,90.3631339008549,9.505952550946954,7.6676122652341245,0.549891530364047,"[""L_T2"", ""L_T3"", ""L_T5"", ""S_PU4""]",
13,90.24329,(((S_PU4 + L_T3) * -13.062389) - (L_T2 + -60.825626)) + (L_T5 + 0.20172551),3.37077411761411e-05,L_T5 - (L_T2 - 60.825626) + (L_T3 + S_PU4)*(-13.062389) + 0.20172551,PySRFunction(X=>L_T5 - (L_T2 - 60.825626) + (L_T3 + S_PU4)*(-13.062389) + 0.20172551),90.24329993346099,9.49964735837394,7.684460282878584,0.5500917986569767,90.358587357148,9.505713406007358,7.663452082300839,0.5499141771862821,"[""L_T2"", ""L_T3"", ""L_T5"", ""S_PU4""]",
15,89.11387,((((S_PU4 + L_T3) * -13.062389) - (L_T2 + -60.825626)) + L_T5) + (0.5153075 - S_PU4),0.006297127633850705,L_T5 - S_PU4 - (L_T2 - 60.825626) + (L_T3 + S_PU4)*(-13.062389) + 0.5153075,PySRFunction(X=>L_T5 - S_PU4 - (L_T2 - 60.825626) + (L_T3 + S_PU4)*(-13.062389) + 0.5153075),89.11385908249044,9.440013722579561,7.655819932058385,0.5557226288921095,89.31356774849156,9.450585577015403,7.636906434105684,0.5551195320305263,"[""L_T2"", ""L_T3"", ""L_T5"", ""S_PU4""]",
