complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,0.0016818678,0.00035751605,0.0,0.000357516050000000,PySRFunction(X=>0.000357516050000000),0.0016818685216838634,0.04101059036009922,0.002318012973403584,-4.825980504108429e-09,0.0003940963677384089,0.019851860561126478,0.0010830028492000464,-0.0003249095728783402,[],
3,0.0016736946,2_FIC_501_PV * -0.014651568,0.0024357217029106057,2_FIC_501_PV*(-0.014651568),PySRFunction(X=>2_FIC_501_PV*(-0.014651568)),0.0016736948701219824,0.04091081605299487,0.0036030370959502763,0.004859858769744263,0.0003944095205455218,0.01985974623567788,0.0022556399848396467,-0.0011197774760141055,"[""2_FIC_501_PV""]",
5,0.0016261652,(2_FQ_501_PV * 2_FIC_501_PV) * -0.034335814,0.014404456583407627,2_FQ_501_PV*2_FIC_501_PV*(-0.034335814),PySRFunction(X=>2_FQ_501_PV*2_FIC_501_PV*(-0.034335814)),0.001626165595791106,0.04032574358633832,0.003127957193057273,0.03311966264113497,0.0003970891605139778,0.019927096138523993,0.001613137809085505,-0.00792144028888453,"[""2_FIC_501_PV"", ""2_FQ_501_PV""]",
7,0.0015609022,((2_FQ_501_PV * 2_FQ_501_PV) * 3_AIT_003_PV) * -0.0037024503,0.020480308778135736,2_FQ_501_PV*2_FQ_501_PV*3_AIT_003_PV*(-0.0037024503),PySRFunction(X=>2_FQ_501_PV*2_FQ_501_PV*3_AIT_003_PV*(-0.0037024503)),0.0015609024018342027,0.03950825738797148,0.002920274656558925,0.071923643707694,0.0004189524742549266,0.020468328565247496,0.0016596272557428532,-0.06341654029801513,"[""2_FQ_501_PV"", ""3_AIT_003_PV""]",
9,0.0015242823,(2_FQ_501_PV * (2_FQ_501_PV * (3_AIT_003_PV * -0.0015994045))) * 2_FQ_501_PV,0.011870155546845234,2_FQ_501_PV*2_FQ_501_PV*3_AIT_003_PV*(-0.0015994045)*2_FQ_501_PV,PySRFunction(X=>2_FQ_501_PV*2_FQ_501_PV*3_AIT_003_PV*(-0.0015994045)*2_FQ_501_PV),0.0015242823504967998,0.039042058737940546,0.002292545229400875,0.09369707667346883,0.0004052955796268672,0.02013195419294578,0.0009597684564182647,-0.028751587757960273,"[""2_FQ_501_PV"", ""3_AIT_003_PV""]",
11,0.0015097,(2_FQ_501_PV * (3_AIT_003_PV * 2_FQ_501_PV)) * ((3_AIT_003_PV * 2_FQ_501_PV) * -7.7335215e-5),0.004806360369631612,2_FQ_501_PV*3_AIT_003_PV*2_FQ_501_PV*3_AIT_003_PV*2_FQ_501_PV*(-7.7335215e-5),PySRFunction(X=>2_FQ_501_PV*3_AIT_003_PV*2_FQ_501_PV*3_AIT_003_PV*2_FQ_501_PV*(-7.7335215e-5)),0.00150970010811277,0.03885485951734699,0.002187299321162523,0.10236733969724199,0.00040508221226335524,0.020126654273956098,0.000913244109092212,-0.02821000273946428,"[""2_FQ_501_PV"", ""3_AIT_003_PV""]",
13,0.0014998987,((2_FQ_501_PV * 3_AIT_003_PV) * ((2_FIC_501_PV * -0.0015994045) * 2_FQ_501_PV)) * (2_FQ_501_PV - 1.7677364),0.0032566915486002775,2_FQ_501_PV*3_AIT_003_PV*2_FIC_501_PV*(-0.0015994045)*2_FQ_501_PV*(2_FQ_501_PV - 1*1.7677364),PySRFunction(X=>2_FQ_501_PV*3_AIT_003_PV*2_FIC_501_PV*(-0.0015994045)*2_FQ_501_PV*(2_FQ_501_PV - 1*1.7677364)),0.001499898688221731,0.03872852551055528,0.0022165836869386794,0.10819503657840324,0.00039832302185112146,0.019958031512429312,0.0009234316920920854,-0.01105331952336397,"[""2_FIC_501_PV"", ""2_FQ_501_PV"", ""3_AIT_003_PV""]",
15,0.0014968582,((2_FQ_501_PV * (2_FQ_501_PV * ((3_AIT_003_PV * 0.0056183683) * 2_FQ_501_PV))) * -0.004796715) * (3_AIT_003_PV * 2_FQ_501_PV),0.0010145971611191615,2_FQ_501_PV*2_FQ_501_PV*3_AIT_003_PV*0.0056183683*2_FQ_501_PV*(-0.004796715)*3_AIT_003_PV*2_FQ_501_PV,PySRFunction(X=>2_FQ_501_PV*2_FQ_501_PV*3_AIT_003_PV*0.0056183683*2_FQ_501_PV*(-0.004796715)*3_AIT_003_PV*2_FQ_501_PV),0.0014968582199428606,0.038689251995132456,0.0020901766823363727,0.11000282848029319,0.0003975525649501766,0.019938720243540622,0.000813301133749064,-0.009097688127443382,"[""2_FQ_501_PV"", ""3_AIT_003_PV""]",
