target,variable_type,target_mode,equation,sympy_format,complexity,loss,score,holdout_r2,holdout_mae,baseline_holdout_mae,residual_tail_ratio,residual_p99,residual_median,selection_reason,pareto_csv
F_PU10,sensor,sensors_delta_actuators_next,67.918335 - P_J317,67.918335 - P_J317,3.0,118.75012,0.2687275486966349,0.4207353982667733,6.74616232158957,6.895837517089495,10.887690963587426,26.96053716751098,2.476240119018556,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/F_PU10_sensors_delta_actuators_next/pareto_front_scored.csv
F_PU11,sensor,sensors_delta_actuators_next,S_PU11 * -11.974902,S_PU11*(-11.974902),3.0,0.20942,0.1649437904361765,-inf,0.0,0.0,0.0,0.0,0.0,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/F_PU11_sensors_delta_actuators_next/pareto_front_scored.csv
F_V2,sensor,sensors_delta_actuators_next,L_T1 * (27.4687 - P_J300),L_T1*(27.4687 - P_J300),5.0,441.80264,0.06992669480627,0.2197171781105587,12.462343224988064,10.262235271331926,13.092326519326404,83.26109061888553,6.359533616579041,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/F_V2_sensors_delta_actuators_next/pareto_front_scored.csv
P_J280,sensor,sensors_delta_actuators_next,(P_J269 * 0.00016494594) + -0.00533504,P_J269*0.00016494594 - 0.00533504,5.0,7.5441985e-06,0.0438745831858498,0.0973089162176404,0.0012776623802603,0.0009265141944362,19.167874636101565,0.0134790112891993,0.0007032084435596,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/P_J280_sensors_delta_actuators_next/pareto_front_scored.csv
P_J269,sensor,sensors_delta_actuators_next,S_V2 - S_PU2,-S_PU2 + S_V2,3.0,6.404771,0.0402681101454826,0.0757973919665496,1.1707274336793108,1.0147148506826462,21.918450899227214,11.836652450561523,0.5400314331054688,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/P_J269_sensors_delta_actuators_next/pareto_front_scored.csv
P_J300,sensor,sensors_delta_actuators_next,(L_T3 + S_PU7) - 5.046983,L_T3 + S_PU7 - 1*5.046983,5.0,2.2073972,0.0916583568580351,0.2728265172648882,1.0301728346085484,1.1519394966020975,7.331990825926955,4.558761419598999,0.6217631101608276,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/P_J300_sensors_delta_actuators_next/pareto_front_scored.csv
P_J256,sensor,sensors_delta_actuators_next,(4.201247 - L_T3) * 6.005996,(4.201247 - L_T3)*6.005996,5.0,35.99267,0.139153739600672,0.3197011353957064,4.679895796822409,3.989987804465098,3.904942039061443,14.381984195801438,3.6830211695685406,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/P_J256_sensors_delta_actuators_next/pareto_front_scored.csv
P_J289,sensor,sensors_delta_actuators_next,L_T3 + (S_PU7 - 5.047088),L_T3 + S_PU7 - 1*5.047088,5.0,2.1983078,0.0938690872146755,0.2688209029314141,1.0274854702602805,1.144341464456358,7.407804138127551,4.563493883518065,0.6160386800765991,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/P_J289_sensors_delta_actuators_next/pareto_front_scored.csv
P_J415,sensor,sensors_delta_actuators_next,107.48473 - (P_J415 - (L_T4 * -6.9434066)),107.48473 - (-(-6.9434066)*L_T4 + P_J415),7.0,42.280987,0.1111737670678133,0.6166009949567384,4.954961852941541,5.302469876258885,3.925295368350197,16.60814816390908,4.231056928306899,highest_score_among_stable_state_dependent_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/P_J415_sensors_delta_actuators_next/pareto_front_scored.csv
P_J302,sensor,sensors_delta_actuators_next,(P_J307 * -0.3047631) + (L_T5 * 2.6823456),L_T5*2.6823456 + P_J307*(-0.3047631),7.0,8.408143,0.1153923404984822,0.4091536920424424,2.259817567648188,2.323170349478177,3.924342078480696,7.740879318134358,1.9725291942773835,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/P_J302_sensors_delta_actuators_next/pareto_front_scored.csv
P_J306,sensor,sensors_delta_actuators_next,(L_T5 + -2.7485468) * -7.326587,(L_T5 - 2.7485468)*(-7.326587),5.0,56.56823,0.1616089903501951,0.3262443945284994,6.059241266677241,4.793867969077472,3.601791474557318,17.39378866206103,4.829204795704847,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/P_J306_sensors_delta_actuators_next/pareto_front_scored.csv
P_J307,sensor,sensors_delta_actuators_next,(L_T5 - (P_J307 * 0.113633215)) * 2.6904075,(L_T5 - 0.113633215*P_J307)*2.6904075,7.0,8.576273,0.1143507386979443,0.405991225348188,2.279584100202493,2.341459703227701,3.9595044457456745,7.851806949757671,1.9830276887791136,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/P_J307_sensors_delta_actuators_next/pareto_front_scored.csv
P_J317,sensor,sensors_delta_actuators_next,(P_J317 * -0.7843356) + (56.56204 - L_T7),-L_T7 + P_J317*(-0.7843356) + 56.56204,7.0,23.781466,0.0672098838768686,0.4725404304523474,3.7520974395161084,4.093076753834067,4.440163396733099,12.12959561348846,2.7317903711410594,highest_score_among_stable_state_dependent_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/P_J317_sensors_delta_actuators_next/pareto_front_scored.csv
P_J14,sensor,sensors_delta_actuators_next,(P_J422 * 0.4271047) + -12.580135,P_J422*0.4271047 - 12.580135,5.0,6.6090646,0.0425183429811712,0.1636741857748448,1.6222549266056348,1.3174735628850929,10.745764221660147,9.841995907903312,0.9158953895586954,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/P_J14_sensors_delta_actuators_next/pareto_front_scored.csv
P_J422,sensor,sensors_delta_actuators_next,(P_J300 * -0.1523024) + L_T3,L_T3 + P_J300*(-0.1523024),5.0,2.0410488,0.0906410940862637,0.2456647861354997,1.0488409023374323,1.0558167538142096,5.903007675376927,4.241756976179472,0.7185755481689462,highest_score_among_stable_candidates,artifacts/experiments/seed3/batadal_seed1/pareto_fronts/P_J422_sensors_delta_actuators_next/pareto_front_scored.csv
