complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,equation_features,evaluation_error
1,631.46716,-0.45334625,0.0,-0.453346250000000,PySRFunction(X=>-0.453346250000000),631.467198324317,25.129011089263283,12.823409236782707,-6.319000878107772e-10,[],
3,613.7482,P1_FCV01Z - P1_FCV01D,0.01423059547853301,-P1_FCV01D + P1_FCV01Z,PySRFunction(X=>-V8 + V9),613.7482310793256,24.77394258246607,12.695402091030841,0.028059995680192906,"[""P1_FCV01D"", ""P1_FCV01Z""]",
5,489.40265,(P1_B400B - P1_FT02Z) * -0.37817222,0.11319959026333473,(-P1_FT02Z + P1_B400B)*(-0.37817222),PySRFunction(X=>(-V17 + V6)*(-0.37817222)),489.4027255172393,22.12244845213204,12.04165624327974,0.22497522100088685,"[""P1_B400B"", ""P1_FT02Z""]",
7,488.31738,((P1_FT02Z - P1_B400B) * 0.378448) - P1_PIT02,0.0011100012400495816,-P1_PIT02 + (P1_FT02Z - P1_B400B)*0.378448,PySRFunction(X=>-V28 + (V17 - V6)*0.378448),488.31740067235364,22.09790489327786,12.046630529730216,0.22669395611246745,"[""P1_B400B"", ""P1_FT02Z"", ""P1_PIT02""]",
9,487.73874,((P1_FT02Z - P1_B400B) * 0.37894866) - (P1_PIT02 * P1_PIT02),0.0005928348339112779,-P1_PIT02*P1_PIT02 + (P1_FT02Z - P1_B400B)*0.37894866,PySRFunction(X=>-V28*V28 + (V17 - V6)*0.37894866),487.73876443325884,22.084808453623925,12.067323839871294,0.22761029229112562,"[""P1_B400B"", ""P1_FT02Z"", ""P1_PIT02""]",
11,487.71252,(((P1_FT02Z - P1_B400B) * 0.33194014) - (P1_PIT02 * P1_PIT02)) * 1.1417869,2.6879866869358574e-05,(-P1_PIT02*P1_PIT02 + (P1_FT02Z - P1_B400B)*0.33194014)*1.1417869,PySRFunction(X=>(-V28*V28 + (V17 - V6)*0.33194014)*1.1417869),487.7125366879787,22.08421464956313,12.077496657833112,0.22765182690347974,"[""P1_B400B"", ""P1_FT02Z"", ""P1_PIT02""]",
13,487.69955,((((P1_FT02Z - P1_B400B) * 0.33194014) - (P1_PIT02 * P1_PIT02)) * 1.1417869) - -0.14972098,1.3296944337363414e-05,(-P1_PIT02*P1_PIT02 + (P1_FT02Z - P1_B400B)*0.33194014)*1.1417869 - 1*(-0.14972098),PySRFunction(X=>(-V28*V28 + (V17 - V6)*0.33194014)*1.1417869 - 1*(-0.14972098)),487.6995960514884,22.08392166376906,12.075215841109339,0.2276723198705456,"[""P1_B400B"", ""P1_FT02Z"", ""P1_PIT02""]",
