complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,0.00019999998,3.999208e-7,0.0,3.99920800000000e-7,PySRFunction(X=>3.99920800000000E-7),0.0002000000001599367,0.014142135629385566,0.00020039984081584003,-7.996834305856737e-10,0.0001322751324350689,0.01150109266265901,0.00013267500017555557,-1.2091208034803458e-09,[],
3,0.00019848482,2_LS_101_AL * -0.0151527915,0.0038023214483375225,2_LS_101_AL*(-0.0151527915),PySRFunction(X=>2_LS_101_AL*(-0.0151527915)),0.00019848484849560057,0.014088465086573503,0.00029697786569595337,0.0075757575219972395,0.0001312796916705149,0.01145773501484979,0.0001968523811671523,0.007525530970907357,"[""2_LS_101_AL""]",
5,0.00018736631,(2_LS_101_AL * 3_AIT_001_PV) * -1.6048605,0.02882352294456254,2_LS_101_AL*3_AIT_001_PV*(-1.6048605),PySRFunction(X=>2_LS_101_AL*3_AIT_001_PV*(-1.6048605)),0.0001873663260820314,0.013688181986006447,0.00022500003427267074,0.06316836958984307,0.00013227513227513228,0.011501092655705904,0.00013227513227513228,0.0,"[""2_LS_101_AL"", ""3_AIT_001_PV""]",
7,0.00015349043,(2_LS_101_AL * (3_AIT_001_PV * 2_FIC_101_PV)) * -20.992853,0.09971367897770007,2_LS_101_AL*3_AIT_001_PV*2_FIC_101_PV*(-20.992853),PySRFunction(X=>2_LS_101_AL*3_AIT_001_PV*2_FIC_101_PV*(-20.992853)),0.00015349043297624827,0.012389125593690955,0.00017392768766731024,0.23254783511875865,0.00013227513227513228,0.011501092655705904,0.00013227513227513228,0.0,"[""2_FIC_101_PV"", ""2_LS_101_AL"", ""3_AIT_001_PV""]",
9,0.0001502352,((2_FIC_101_PV - 2_FIC_501_PV) * 3_AIT_001_PV) * (2_LS_101_AL * -23.928246),0.010718076869522135,(2_FIC_101_PV - 2_FIC_501_PV)*3_AIT_001_PV*2_LS_101_AL*(-23.928246),PySRFunction(X=>(2_FIC_101_PV - 2_FIC_501_PV)*3_AIT_001_PV*2_LS_101_AL*(-23.928246)),0.00015023520309649793,0.012257047078986762,0.0001551192529819673,0.24882398451751042,0.00013227513227513228,0.011501092655705904,0.00013227513227513228,0.0,"[""2_FIC_101_PV"", ""2_FIC_501_PV"", ""2_LS_101_AL"", ""3_AIT_001_PV""]",
11,0.0001501946,((2_MCV_601_CO * 2_FIC_101_PV) * (-0.8449764 * (2_FIC_101_PV * 3_AIT_001_PV))) * 2_LS_101_AL,0.00013513972397928846,2_MCV_601_CO*2_FIC_101_PV*(-0.8449764)*2_FIC_101_PV*3_AIT_001_PV*2_LS_101_AL,PySRFunction(X=>2_MCV_601_CO*2_FIC_101_PV*(-0.8449764)*2_FIC_101_PV*3_AIT_001_PV*2_LS_101_AL),0.00015019460730694996,0.012255390948760058,0.0001543725648894906,0.24902696346525022,0.00013227513227513228,0.011501092655705904,0.00013227513227513228,0.0,"[""2_FIC_101_PV"", ""2_LS_101_AL"", ""2_MCV_601_CO"", ""3_AIT_001_PV""]",
13,0.00015006373,(2_MCV_601_CO * (((2_FIC_101_PV * -5.1066284) * 3_AIT_001_PV) * (2_FIC_101_PV * 3_AIT_001_PV))) * 2_LS_101_AL,0.00043585804359601445,2_MCV_601_CO*2_FIC_101_PV*(-5.1066284)*3_AIT_001_PV*2_FIC_101_PV*3_AIT_001_PV*2_LS_101_AL,PySRFunction(X=>2_MCV_601_CO*2_FIC_101_PV*(-5.1066284)*3_AIT_001_PV*2_FIC_101_PV*3_AIT_001_PV*2_LS_101_AL),0.0001500637223626458,0.01225004989225129,0.00015184757281094788,0.249681388186771,0.00013227513227513228,0.011501092655705904,0.00013227513227513228,0.0,"[""2_FIC_101_PV"", ""2_LS_101_AL"", ""2_MCV_601_CO"", ""3_AIT_001_PV""]",
