complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,2.2396295,2_LS_501_AL,0.0,2_LS_501_AL,PySRFunction(X=>2_LS_501_AL),2.239629274697934,1.496539098953961,0.06553435475826264,0.01451634467773777,0.7168982416404187,0.846698436068249,0.03326850039539514,0.0069989058799752035,"[""2_LS_501_AL""]",
3,2.2098966,2_LS_501_AL * 3.1987894,0.006682361648033406,2_LS_501_AL*3.1987894,PySRFunction(X=>2_LS_501_AL*3.1987894),2.2098969691136743,1.486572221290871,0.0781773935675621,0.027599180091329445,0.7274768655811417,0.8529225437172719,0.03983069416431208,-0.007653920054407681,"[""2_LS_501_AL""]",
5,2.1151187,(1_LT_001_PV * 2_FIC_301_PV) * 2_LS_501_AL,0.021917396624966407,2_FIC_301_PV*2_LS_501_AL*1_LT_001_PV,PySRFunction(X=>2_FIC_301_PV*2_LS_501_AL*1_LT_001_PV),2.115118750088024,1.4543447837730996,0.07455053100585937,0.06930357589716174,0.7355982765231583,0.8576702609529833,0.04030089468310868,-0.01890317341115666,"[""1_LT_001_PV"", ""2_FIC_301_PV"", ""2_LS_501_AL""]",
7,2.017064,((2_FIC_501_CO - 2_MCV_201_CO) * 2_FIC_301_PV) * 2_LS_501_AL,0.023733972546828658,2_FIC_301_PV*2_LS_501_AL*(2_FIC_501_CO - 2_MCV_201_CO),PySRFunction(X=>2_FIC_301_PV*2_LS_501_AL*(2_FIC_501_CO - 2_MCV_201_CO)),2.0170638149413613,1.4202337184215004,0.06888330313456754,0.11244979523015985,0.7065583546247937,0.8405702556150757,0.03369170279444901,0.02132104886096342,"[""2_FIC_301_PV"", ""2_FIC_501_CO"", ""2_LS_501_AL"", ""2_MCV_201_CO""]",
9,1.9503559,2_LS_501_AL * ((2_FIC_601_CO - 2_MCV_201_CO) * (2_FIC_301_PV * 1_MV_004_STATUS)),0.01681556000923181,1_MV_004_STATUS*2_FIC_301_PV*2_LS_501_AL*(2_FIC_601_CO - 2_MCV_201_CO),PySRFunction(X=>1_MV_004_STATUS*2_FIC_301_PV*2_LS_501_AL*(2_FIC_601_CO - 2_MCV_201_CO)),1.9503555406244621,1.3965513025393883,0.0711244660153985,0.14180282912588105,0.7106904222464964,0.843024567996981,0.03541281656165011,0.015597575945281772,"[""1_MV_004_STATUS"", ""2_FIC_301_PV"", ""2_FIC_601_CO"", ""2_LS_501_AL"", ""2_MCV_201_CO""]",
11,1.8608812,(((2_FIC_301_PV * (2_MV_601_STATUS - 2_MV_501_STATUS)) * 2_LS_501_AL) * 1_LT_001_PV) * 1_MV_004_STATUS,0.023480864883612736,1_MV_004_STATUS*2_FIC_301_PV*2_LS_501_AL*1_LT_001_PV*(-2_MV_501_STATUS + 2_MV_601_STATUS),PySRFunction(X=>1_MV_004_STATUS*2_FIC_301_PV*2_LS_501_AL*1_LT_001_PV*(-2_MV_501_STATUS + 2_MV_601_STATUS)),1.8608812665676586,1.3641412194372173,0.07809318771660329,0.18117337837300906,0.7733200477532578,0.8793861766898874,0.044550882980335875,-0.07115293206298778,"[""1_LT_001_PV"", ""1_MV_004_STATUS"", ""2_FIC_301_PV"", ""2_LS_501_AL"", ""2_MV_501_STATUS"", ""2_MV_601_STATUS""]",
13,1.7746365,(((2_FQ_301_PV * 2_LS_501_AL) * 1_LT_001_PV) * (1.8678473 - 2_FIT_003_PV)) * (1.8349819 - 2_MV_501_STATUS),0.02372726287629757,2_FQ_301_PV*2_LS_501_AL*1_LT_001_PV*(1.8349819 - 2_MV_501_STATUS)*(1.8678473 - 2_FIT_003_PV),PySRFunction(X=>2_FQ_301_PV*2_LS_501_AL*1_LT_001_PV*(1.8349819 - 2_MV_501_STATUS)*(1.8678473 - 2_FIT_003_PV)),1.7746363784126362,1.3321547877077333,0.08283609737679362,0.2191229303779204,0.7450934912359773,0.863187981401489,0.045655353702007295,-0.032055330929577464,"[""1_LT_001_PV"", ""2_FIT_003_PV"", ""2_FQ_301_PV"", ""2_LS_501_AL"", ""2_MV_501_STATUS""]",
15,1.7143439,(((2_FIC_301_PV * (2_MV_601_STATUS - 2_MV_501_STATUS)) * 2_LS_501_AL) * (1_LT_001_PV * 1_MV_004_STATUS)) * (1.8349819 - 2_MV_501_STATUS),0.017282585699780317,1_MV_004_STATUS*2_FIC_301_PV*2_LS_501_AL*1_LT_001_PV*(1.8349819 - 2_MV_501_STATUS)*(-2_MV_501_STATUS + 2_MV_601_STATUS),PySRFunction(X=>1_MV_004_STATUS*2_FIC_301_PV*2_LS_501_AL*1_LT_001_PV*(1.8349819 - 2_MV_501_STATUS)*(-2_MV_501_STATUS + 2_MV_601_STATUS)),1.7143438762941972,1.3093295522114352,0.08166857275366783,0.24565289051349615,0.8005368222478773,0.8947272334336747,0.04482272489060446,-0.10885184842485951,"[""1_LT_001_PV"", ""1_MV_004_STATUS"", ""2_FIC_301_PV"", ""2_LS_501_AL"", ""2_MV_501_STATUS"", ""2_MV_601_STATUS""]",
