complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,holdout_mse,holdout_rmse,holdout_mae,holdout_r2_against_constant,equation_features,evaluation_error
1,0.016138894,-0.0004248218,0.0,-0.000424821800000000,PySRFunction(X=>-0.000424821800000000),0.01613890389040072,0.1270389857106893,0.013276052399961878,-6.912248551316225e-13,0.016371240884401315,0.12795014999757254,0.01300618841154603,-8.482021548683605e-06,[],
3,0.016086966,2_LS_601_AH * 2_FIC_601_PV,0.0016113780964839123,2_FIC_601_PV*2_LS_601_AH,PySRFunction(X=>2_FIC_601_PV*2_LS_601_AH),0.01608696653000049,0.12683440593939993,0.013405644482094794,0.0032181467057379454,0.016399120335444384,0.1280590501895293,0.013073217680885041,-0.00171144929898559,"[""2_FIC_601_PV"", ""2_LS_601_AH""]",
5,0.01600109,(2_LS_601_AH * 2_FIC_601_PV) * 2_FIC_601_PV,0.002676266989378662,2_FIC_601_PV*2_FIC_601_PV*2_LS_601_AH,PySRFunction(X=>2_FIC_601_PV*2_FIC_601_PV*2_LS_601_AH),0.016001090623616016,0.12649541740164352,0.012906271294565522,0.008539196200035404,0.016371427638900298,0.1279508797894735,0.012651882779682974,-1.9889591955646324e-05,"[""2_FIC_601_PV"", ""2_LS_601_AH""]",
7,0.015986387,((2_LS_601_AH * 2_FIC_601_PV) * 2_FIC_601_PV) * 2_FIC_601_PV,0.00045964866298977815,2_FIC_601_PV*2_FIC_601_PV*2_FIC_601_PV*2_LS_601_AH,PySRFunction(X=>2_FIC_601_PV*2_FIC_601_PV*2_FIC_601_PV*2_LS_601_AH),0.015986386104421102,0.12643728130745735,0.012836132013854853,0.009450318745580222,0.016371113977473917,0.12794965407328743,0.012625890903599423,-7.30134888327072e-07,"[""2_FIC_601_PV"", ""2_LS_601_AH""]",
9,0.015983958,(((2_LS_601_AH * 2_FIC_601_PV) * 2_FIC_601_PV) * 2_FIC_601_PV) * 2_FQ_301_PV,7.597665914072298e-05,2_FIC_601_PV*2_FIC_601_PV*2_FIC_601_PV*2_FQ_301_PV*2_LS_601_AH,PySRFunction(X=>2_FIC_601_PV*2_FIC_601_PV*2_FIC_601_PV*2_FQ_301_PV*2_LS_601_AH),0.01598395878790082,0.1264276820474884,0.012810520922121668,0.009600720317878175,0.016371104582298873,0.12794961735893887,0.0126233255065335,-1.5624712990103262e-07,"[""2_FIC_601_PV"", ""2_FQ_301_PV"", ""2_LS_601_AH""]",
11,0.015983682,(((2_LS_601_AH * 2_FIC_601_PV) * 2_FIC_601_PV) * (2_FIC_601_PV * 2_FQ_301_PV)) + -0.00047906098,8.63373086058045e-06,2_FIC_601_PV*2_FIC_601_PV*2_FIC_601_PV*2_FQ_301_PV*2_LS_601_AH - 0.00047906098,PySRFunction(X=>2_FIC_601_PV*2_FIC_601_PV*2_FIC_601_PV*2_FQ_301_PV*2_LS_601_AH - 0.00047906098),0.015983694250818282,0.12642663584394817,0.013244576823928218,0.00961711158486478,0.016371283658211562,0.12795031714775684,0.013055139770122763,-1.1094784585941042e-05,"[""2_FIC_601_PV"", ""2_FQ_301_PV"", ""2_LS_601_AH""]",
13,0.015983477,(((2_FQ_601_PV * ((2_FQ_301_PV * 2_LS_601_AH) * 2_FIC_601_PV)) * 2_FIC_601_PV) * 2_FIC_601_PV) + -0.0005269337,6.412831368666987e-06,2_FIC_601_PV*2_FIC_601_PV*2_FIC_601_PV*2_FQ_301_PV*2_FQ_601_PV*2_LS_601_AH - 0.0005269337,PySRFunction(X=>2_FIC_601_PV*2_FIC_601_PV*2_FIC_601_PV*2_FQ_301_PV*2_FQ_601_PV*2_LS_601_AH - 0.0005269337),0.01598348329147352,0.12642580152592872,0.013283905791696452,0.009630183063956355,0.016371327373256042,0.12795048797584183,0.013098288430198586,-1.3765041262381317e-05,"[""2_FIC_601_PV"", ""2_FQ_301_PV"", ""2_FQ_601_PV"", ""2_LS_601_AH""]",
