complexity,loss,equation,score,sympy_format,lambda_format,fit_mse,fit_rmse,fit_mae,fit_r2_against_constant,equation_features,evaluation_error
1,75291.09,P4_HT_LD,0.0,P4_HT_LD,PySRFunction(X=>V68),75291.0954952659,274.3922292909657,144.21888239490013,0.010401655435124502,"[""P4_HT_LD""]",
3,58988.844,P4_HT_FD * -64175.21,0.1220067299151415,P4_HT_FD*(-64175.21),PySRFunction(X=>V67*(-64175.21)),58988.84668111669,242.87619620110303,139.71471016022434,0.2246723913441423,"[""P4_HT_FD""]",
5,21797.594,(P4_HT_LD - P4_HT_PO) * 27.58629,0.4977743722747493,(P4_HT_LD - P4_HT_PO)*27.58629,PySRFunction(X=>(V68 - V69)*27.58629),21797.5943707591,147.64008388902758,56.41418809026648,0.7135004722284035,"[""P4_HT_LD"", ""P4_HT_PO""]",
7,21102.416,(P4_HT_LD * 27.82083) - (P4_HT_PO * 28.386385),0.01620603021744536,P4_HT_LD*27.82083 - 28.386385*P4_HT_PO,PySRFunction(X=>V68*27.82083 - 28.386385*V69),21102.417841572216,145.26671277884765,58.911413068703986,0.7226376157104897,"[""P4_HT_LD"", ""P4_HT_PO""]",
9,6597.8755,(((P4_HT_FD * -2232.8845) + P4_HT_LD) - P4_HT_PO) * 27.114216,0.5813199165113909,(P4_HT_FD*(-2232.8845) + P4_HT_LD - P4_HT_PO)*27.114216,PySRFunction(X=>(V67*(-2232.8845) + V68 - V69)*27.114216),6597.875487728088,81.2273075247979,25.25650904739636,0.9132799620280272,"[""P4_HT_FD"", ""P4_HT_LD"", ""P4_HT_PO""]",
11,6560.203,((P4_HT_LD + ((P4_HT_FD * -2238.805) - P4_HT_PO)) * 27.115938) + -6.1437354,0.0028630778374264436,(P4_HT_FD*(-2238.805) + P4_HT_LD - P4_HT_PO)*27.115938 - 6.1437354,PySRFunction(X=>(V67*(-2238.805) + V68 - V69)*27.115938 - 6.1437354),6560.203164896522,80.99508111543886,23.93580909877238,0.9137751131221215,"[""P4_HT_FD"", ""P4_HT_LD"", ""P4_HT_PO""]",
13,6483.2837,((P4_HT_LD + ((P4_HT_FD * -2238.805) - P4_HT_PO)) * 27.115938) + (P4_HT_PO * -0.13909185),0.005897210879554443,P4_HT_PO*(-0.13909185) + (P4_HT_FD*(-2238.805) + P4_HT_LD - P4_HT_PO)*27.115938,PySRFunction(X=>V69*(-0.13909185) + (V67*(-2238.805) + V68 - V69)*27.115938),6483.283683875729,80.51884055223181,23.5160175176833,0.9147861143644629,"[""P4_HT_FD"", ""P4_HT_LD"", ""P4_HT_PO""]",
15,6451.5103,((P4_HT_LD + ((P4_HT_FD * -2238.805) - P4_HT_PO)) * 27.115938) + (0.23798919 + (P4_HT_PO * -0.2774579)),0.002456433701810602,P4_HT_PO*(-0.2774579) + (P4_HT_FD*(-2238.805) + P4_HT_LD - P4_HT_PO)*27.115938 + 0.23798919,PySRFunction(X=>V69*(-0.2774579) + (V67*(-2238.805) + V68 - V69)*27.115938 + 0.23798919),6451.510649263703,80.32129636194689,24.266321145544232,0.9152037273935606,"[""P4_HT_FD"", ""P4_HT_LD"", ""P4_HT_PO""]",
